word_id,word,gramatica,defini,en,eo,es,fr,capital,nota,vide,orijina,tasonomia,pronuncia,simbol,usa,an,da,de,gl,he,mt,ru
8,abadia,nom,NA,abbacy (post,NA,abadía,charge d'abbé,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,כהונת ראש המנזר,NA,ru: период игуменства
9,abaia,verbo transitiva,cria forte e subita,bark; squawk,boji,ladrar,aboyer,NA,NA,NA,NA,NA,NA,NA,abaia un comanda,NA,NA,NA,NA,לנבוח,NA,ru: лаять; каркать; кричать (о чайках)
9,abaia,nom,NA,bark; squawk,bojo,ladrido,aboiement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,נביחה,NA,ru: лай
9,abaieta,verbo transitiva,cria forte e alta,yap,NA,ladrar,japper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ליילל (כמו גור כלבים),NA,ru: тявкать
9,abaieta,nom,NA,yap,NA,ladrido,jappement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,יללה (כמו של גור כלבים),NA,ru: тявканье
10,abalon,nom molusco,un molusco comable de mares calda,abalone,NA,abulón,ormeau,NA,NA,NA,NA,Haliotis,NA,NA,NA,NA,NA,NA,NA,he: אבלון (שבלול),NA,NA
11,abandona,verbo transitiva informatica,lasa (algun) en solitaria o sin aida; sesa labora a (un taxe); (un program) sesa espeta (un responde) pos un tempo definida,abandon,NA,abandonar,abandonner; quitter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לזנוח,NA,NA
11,abandona,nom,NA,abandonment; timeout (software),NA,abandono,abandon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: זניחה,NA,NA
11,abandona la scola,espresa,NA,drop out of school,NA,dejar la escuela,quitter l'école,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לנשור מבית הספר,NA,NA
11,abandona militar,nom,NA,desertion,NA,deserción,désertion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: עריקה,NA,NA
11,abandona sua posto,espresa,NA,abandon one's post,NA,desertar,déserter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לערוק,NA,NA
11,abandonada,ajetivo,NA,abandoned,NA,abandonado,à l'abandon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: נטוש,NA,NA
11,abandonor,nom,NA,deserter; dropout,NA,desertor,déserteur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: עריק,NA,NA
12,Abcazia,nom jeografial,un teritorio autonom de Sacartvelo,Abkhazia,NA,Abjasia,Abkhazie,Sukhumi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אבחזיה,NA,NA
12,abcaz,ajetivo,NA,Abkhaz,NA,abjasio (persona,abkhaze,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אבחזי,NA,NA
12,abcaz,nom demonim,NA,Abkhaz,NA,abjasio persona,Abkhaze (habitant),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אבחזי,NA,NA
13,abea,nom artropodo,un inseto volante e picante cual colie netar e polen de flores e produi miel e sira,bee,abelo,abeja,abeille,NA,NA,NA,NA,Apis,NA,NA,NA,abeya,bi,Biene,NA,דבורה,NA,NA
13,abea laborante,nom,NA,worker bee,NA,abeja obrera,ouvrière,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: דבורה פועלת,NA,NA
13,abea mas,nom,NA,drone,NA,zángano,faux-bourdon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: דבורה ממין זכר,NA,NA
13,abeon,nom artropodo,un abea grande e pelosa cual zumbi forte,bumblebee,burdo,abejorro,bourdon,NA,NA,NA,NA,Bombus,NA,NA,NA,NA,NA,NA,NA,he: בומבוס (דבורה),NA,NA
13,abeor,nom,NA,beekeeper,abelisto,apicultor,apiculteur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: דבוראי,NA,NA
13,aberia,nom,NA,beehive,abelujo,colmena,ruche,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: כוורת,NA,NA
13,rea de abeas,nom,NA,queen bee,NA,abeja reina,reine des abeilles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מלכת הדבורים,NA,NA
14,abeto,nom planta,un arbor perene e conifer con conos vertical e folias cual sembla agetas,fir,abio,abeto,sapin,NA,NA,NA,NA,Abies,NA,NA,NA,NA,NA,NA,NA,he: אשוח (עץ),NA,NA
15,Abisinia,nom jeografial istoria,un impero istorial,Abyssinia,NA,Abisinia,Abyssinie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: חבש,NA,NA
15,abisinian,ajetivo,NA,Abyssinian,NA,abisinio,abyssinien,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: חבשי,NA,NA
15,abisinian,nom demonim,NA,Abyssinian,NA,abisinio,Abyssinien,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: חבשי,NA,NA
16,abita,verbo transitiva,usa (un loca) como sua casa,live in,loĝi en,habitar,habiter dans/à,NA,La ojeto de `abita` es tipal un spesie de casa. On usa `en` per presenta un loca plu jeneral,NA,NA,NA,NA,NA,el abita un aparte; el abita en Moscva; el abita en la campania; el abita un caseta en la campania,habitar,bo,wohnen,habitar,לגור,NA,NA
16,abita,nom,NA,habitation,loĝado,habitación,habitation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: התגוררות,NA,NA
16,abitable,ajetivo,NA,habitable,loĝebla,habitable,habitable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: ראוי למגורים,NA,NA
16,abitablia,nom,NA,habitability,loĝebleco,habitabilidad,habitabilité,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: היות מבנה או סביבה ראוי למגורים,NA,NA
16,abitada,ajetivo,NA,inhabited,loĝata,habitado,habité,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מאוכלס,NA,NA
16,abitada,nom,la ambiente do un spesie de animal abita tipal,habitat,habitato,hábitat,habitat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: בית גידול,NA,NA
16,abitada de studiantes,nom,NA,hall of residence,NA,residencia de estudiantes,résidence universitaire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מעון סטודנטים,NA,NA
16,abital,ajetivo,NA,residential,NA,residencial,résidentiel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: ששייך למגורים,NA,NA
16,abitante,ajetivo,NA,residential,loĝanta,residencial,habitant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מתגורר,NA,NA
16,abiteria,nom,un sala o casa do un person abita,residence,loĝejo,habitación,habitation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מגורים,NA,NA
16,abitor,nom,NA,inhabitant,loĝanto,habitante,habitant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: דייר,NA,NA
16,abitor de cava,nom,NA,cave dweller,kavernulo,cavernícola,troglodyte,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: איש מערות,NA,NA
16,abitor luante,nom,NA,lodger,ĉambroluanto,huésped,locataire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: דייר בשכירות,NA,NA
16,abitores,nom plural,NA,inhabitants,loĝantoj,habitantes,habitants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: תושבים,NA,NA
16,nonabitable,ajetivo,NA,uninhabitable,neloĝebla,inhabitable,inhabitable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: שאינו ראוי למגורים,NA,NA
16,nonabitada,ajetivo,NA,uninhabited; unmanned,neloĝata,deshabitado,inhabité,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לא מיושב,NA,NA
16,nonabital,ajetivo,NA,non-residential,NA,no residencial,non-résidentiel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: שאינו שייך למגורים,NA,NA
16,nonabitante,ajetivo,NA,non-residential,neloĝanta,no residencial,non résidant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: שאינו מתגורר,NA,NA
16,nonabitor,nom,NA,non-resident,neloĝanto,no residente,non-résident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: שאינו תושב,NA,NA
17,abitua,verbo nontransitiva,comensa ave un tende forte (a un condui) pos multe repetes; deveni fisical dependente (de un droga),get used (to),kutimi (al,acostumbrase a,être habitué (à); être dépendant (à),NA,NA,NA,NA,NA,NA,NA,el abitua a labora en la note; el ia abitua a eroina,NA,NA,NA,NA,he: להתרגל,NA,NA
17,abitua,verbo transitiva,fa ce (algun) deveni abituada,accustom,kutimigi,acostumbrar a,accoutumer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: להרגיל,NA,NA
17,abitua,nom,NA,habit,kutimo; manio,costumbre,habitude; addiction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: הרגל; התמכרות,NA,NA
17,abitua sosial,nom,NA,social habit,NA,convención social,convention sociale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מוסכמה חברתית,NA,NA
17,abituada,ajetivo,NA,accustomed,kutimiĝinta,habituado,accoutumé,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מורגל,NA,NA
17,abitual,ajetivo,NA,habitual,kutima,habitual,coutumier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: שיגרתי,NA,NA
17,abituante,ajetivo,NA,habit-forming,dependiga,adictivo,addictif,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: יוצר הרגלים; ממכר,NA,NA
17,mal abitua,nom,NA,bad habit,malbona kutimo,mal hábito,vice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: הרגל מגונה,NA,NA
17,nonabituada,ajetivo,NA,unaccustomed,nekutimiĝinta,desacostumbrado,inhabituel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: שאינו מורגל; זר,NA,NA
18,abjad,nom linguistica,un sistem de scrive con sinias per consonantes ma no per vocales,abjad (writing system),abĝado,abyad,abjad,NA,NA,NA,de la leteras prima de la alfabeta vea arabi,NA,NA,NA,NA,NA,NA,NA,NA,he: אבגד,NA,NA
19,ablativa,ajetivo linguistica,NA,ablative (grammar),ablativa,ablativo (gramática),ablatif (grammaire),NA,NA,NA,de latina ablativus (sutrae),NA,NA,NA,NA,NA,NA,NA,NA,he: (דקדוק) של יחסת מוצא,NA,NA
19,ablativa,nom,un caso gramatical cual indica moves a via,ablative (grammar),ablativo,ablativo (gramática),ablatif (grammaire),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (דקדוק) יחסת מוצא,NA,NA
20,-able,sufisa ajetivo,ajuntada a un verbo transitiva per formi un ajetivo descrivente un person o cosa a cual on pote fa la ata,-able,-ebla,-able,-able,NA,NA,NA,NA,NA,NA,NA,comable; lejable; lodable; notable; vidable,NA,NA,NA,NA,he: (סיומת) ניתן ל,NA,NA
21,aboli,verbo transitiva governa,elimina ofisial la esiste de (un lege o costum),abolish,abolicii,abolir,abolir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לבטל בצורה רשמית,NA,NA
21,aboli,esclama,NA,down with ...,for la ...,abajo...!,à bas... !,NA,NA,NA,NA,NA,NA,NA,aboli la gera!,NA,NA,NA,NA,he: ... לא עוד,NA,NA
21,aboli,nom,NA,abolition,abolicio,abolición,abolition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: ביטול,NA,NA
21,abolisme,nom,la crede ce on debe aboli un lege o costum spesifada,abolitionism,aboliciismo,abolicionismo,abolitionnisme,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: האמונה בביטול חוק או מנהג ספציפי,NA,NA
21,aboliste,ajetivo,NA,abolitionist,NA,abolicionista,abolitionniste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: שקשור בביטול חוק או מנהג ספציפי,NA,NA
21,aboliste,nom,NA,abolitionist,aboliciisto,abolicionista,abolitionniste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אדם המאמין בביטול חוק או מנהג ספציפי,NA,NA
22,aborta,verbo nontransitiva medica,sesa prematur; pari prematur un feto noncapas de vive,abort,nuliĝi,abortar,avorter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: להפיל,NA,NA
22,aborta,verbo transitiva,NA,abort,nuligi,abortar,faire avorter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לבטל,NA,NA
22,aborta,nom,NA,abortion,nuliĝo,aborto,avortement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: הפסקה לפני הזמן הראוי; הפלה,NA,NA
22,aborta natural,verbo nontransitiva medica,NA,miscarry,aborti,abortar de forma natural,faire une fausse couche,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: להפיל בהפלה טבעית,NA,NA
22,aborta natural,nom medica,NA,miscarriage,aborto,aborto espontáneo,fausse couche,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: הפלה טבעית,NA,NA
22,abortada,ajetivo,NA,abortive,abortita,abortivo,abortif,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: בוטל,NA,NA
22,abortiste,ajetivo,credente ce on no debe proibi abortas intendeda de fetos,abortionist,NA,abortista,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: תומך בהפלות,NA,NA
22,abortiste,nom,NA,abortionist,NA,abortista,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: תומך בהפלות,NA,NA
22,antiabortiste,ajetivo,NA,antiabortionist,NA,antiabortista,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מתנגד להפלות,NA,NA
22,antiabortiste,nom,NA,antiabortionist,NA,antiabortista,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מתנגד להפלות,NA,NA
23,abracadabra,esclama,diseda par un majiste en fa un truco,abracadabra,NA,abracadabra,abracadabra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אברקדברה,NA,NA
24,Abraham,nom relijio,la patriarca comun de cristiania,Abraham,NA,NA,Abraham,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אברהם,NA,NA
24,abrahamal,ajetivo,NA,Abrahamic,NA,NA,abrahamique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אברהמי,NA,NA
25,abrasa,verbo transitiva,teni (algun) entre sua brasos,embrace,brakumi,abrazar,embrasser,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לחבק,NA,NA
25,abrasa,nom,NA,embrace,brakumo,abrazo,embrassade,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: חיבוק,NA,NA
25,abrasa ursin,nom,NA,bear hug,NA,abrazo de oso,calin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: חיבוק דוב,NA,NA
25,abrasable,ajetivo,NA,embraceable,brakuminda,abrazable,embrassable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: שראוי לחיבוק,NA,NA
25,abrasador,nom util,un fisador cual presa forte a la esterna de ojetos per forti o uni los,clamp,krampo,abrazadera,fixation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מלחציים,NA,NA
25,abrasador de diton,nom util,NA,thumbscrew,NA,aplastapulgares,vis à ailettes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: בורג כנפיים,NA,NA
25,abrasador fisada,nom util,un util con du mandibulas plana,vise|ce,ŝraŭbpremilo,tornillo de banco,étau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מלחציים קבועים,NA,NA
25,abrasadorin,ajetivo,NA,viselike|ce,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: דמוי מלחציים,NA,NA
25,abrasante,ajetivo,NA,embracing,brakumanta,ceñido,embrassant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מחבק,NA,NA
26,abri,verbo nontransitiva,(un porte o contenador) deveni noncluida,open,malfermiĝi,abrirse,s'ouvrir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,öffnen,NA,he: להיפתח; להידלק,NA,NA
26,abri,verbo transitiva,NA,open,malfermi; malligi,abrir,ouvrir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Öffnung,abrir,he: לפתוח; להדליק,NA,NA
26,abri,nom,un ata de abri; un spasio o buco do on pote entra,opening,malfermo,abertura,ouverture,NA,NA,NA,NA,NA,NA,NA,NA,apertura,åbning,NA,apertura,he: פתיחה; פתח,NA,NA
26,abri la via de,espresa,NA,pioneer,pioniri,liderar,ouvrir la voie à,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: להיות חלוץ,NA,NA
26,abrable,ajetivo,NA,openable,NA,desplegable,ouvrable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: שניתן לפתיחה,NA,NA
26,abrida,ajetivo,NA,open,malfermita,abierto,ouvert,NA,NA,NA,NA,NA,NA,NA,NA,NA,åben,geöffnet,aberto,he: פתוח,NA,NA
26,abridia,nom,NA,openness,NA,espacio,ouverture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: פתיחות,NA,NA
26,abrinte,ajetivo,NA,opening,NA,abierto,ouvert,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: פתיחה,NA,NA
26,abrinte vias,ajetivo,NA,pioneering,NA,pionero,pionnier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: חלוצי,NA,NA
26,de fonte abrida,ajetivo informatica,(un program) de cual sua codigo de fonte es libre disponable,open-source,malfermitkoda,de código abierto,libre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: קוד פתוח,NA,NA
26,nonabrida,ajetivo,NA,unopened,NA,cerrado,fermé,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: שלא נפתח,NA,NA
26,pico abrida,ajetivo,NA,slightly open,NA,entreabierto,entrouvert,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: פתוח באופן חלקי,NA,NA
26,reabri,verbo nontransitiva,NA,reopen,remalfermiĝi,reabrirse,se rouvrir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: להיפתח שוב,NA,NA
26,reabri,verbo transitiva,NA,reopen,remalfermi,reabrir,rouvrir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לפתוח שוב,NA,NA
27,abribote,nom verbo-nom,un util per abri botes de comeda,can opener,skatolmalfermilo,abrelatas,ouvre-boîte,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: פותחן קופסאות,NA,NA
28,abribotela,nom verbo-nom,un util per abri botelas par deseli la covrente,bottle opener,NA,sacacorchos,décapsuleur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: פותחן בקבוקים,NA,NA
29,abricoco,nom planta,un arbor cual produi abricocas,apricot (tree),abrikotujo,albaricoquero,abricotier,NA,NA,NA,NA,Prunus armeniaca,NA,NA,NA,NA,NA,NA,NA,he: משמש (עץ),NA,NA
29,abricoca,nom planta cosini,un fruta mol e oranin jala,apricot (fruit),abrikoto,albaricoque,abricot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: משמש (פרי),NA,NA
30,abrioio,nom verbo-nom,un descovre surprendente,eye-opener,NA,revelación,révélation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: גילוי,NA,NA
31,abrisita,nom verbo-nom,un sinia de puntua introduinte un parola o frase sitada,opening quotation mark,NA,comillas de apertura,guillemet ouvrant,NA,NA,NA,NA,NA,NA,“ ‘,NA,NA,NA,NA,NA,he: מרכאות פותחות,NA,NA
32,abrivia,nom verbo-nom,la person prima ci esplora un loca o idea,pioneer,pioniro,pionero,pionnier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: חלוץ,NA,NA
33,abrotano,nom planta,un artemisia brosin de Europa sude,southernwood (plant),NA,abrótano macho (planta),aurone,NA,NA,NA,NA,Artemisia abrotanum,NA,NA,NA,NA,NA,NA,NA,he: לענה דרומית (צמח),NA,NA
34,abugida,nom linguistica,un sistem de scrive cual indica vocales par ajunta sinietas a la sinias per consonantes,abugida,abugido,abugida,alphasyllabaire,NA,NA,NA,de la leteras prima de la alfabeta Ge'ez,NA,NA,NA,NA,NA,NA,NA,NA,he: אבוגידה,NA,NA
35,abunda,verbo nontransitiva,esiste en un cuantia grande e sufisinte,abound,abundi,abundar,être abondant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: להיות שופע,NA,NA
35,abunda,nom,NA,abundance,abundo,abundancia,abondance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: שפע,NA,NA
35,abundante,ajetivo,NA,abounding,abunda,abundante,abondant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: שופע,NA,NA
35,suprabunda,verbo nontransitiva,esiste en un cuantia multe plu ca sufisinte,be overabundant,superabundi,sobreabundar,être surabondant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: להיות עודף,NA,NA
35,suprabunda,nom,NA,overabundance,superabundo,superabundancia,excès,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: עודף,NA,NA
35,suprabundante,ajetivo,NA,excessive,superabunda,excesivo,excessif,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: עודף,NA,NA
36,Acaba,nom jeografial,NA,Aqaba,NA,Áqaba,Aqaba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: עקבה,NA,NA
36,Golfo Acaba,nom jeografial,la estende norde-ueste de la Mar Roja,Gulf of Aqaba,NA,Golfo de Áqaba,golfe d'Aqaba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מפרץ אילת,NA,NA
37,acad,ajetivo demonim istoria,pertinente a la impero de la site Acad en Mesopotamia antica,Akkadian (person,akada,acadio (persona,akkadien,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אכדי,NA,NA
37,acad,nom demonim,NA,Akkadian (person,akadano,acadio (persona,Akkadien (habitant),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אכדי,NA,NA
38,academia,nom,un organiza distinguida de espertas,academy,akademio,academia,académie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,אקדמיה,NA,NA
38,academial,ajetivo,pertinente a educa e aprende,academic,akademia,académico,académique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אקדמי,NA,NA
38,academias,nom plural,NA,academia,NA,mundo académico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אקדמיות,NA,NA
38,academin,ajetivo,(un demanda) mera teorial,academic,NA,académico,académique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אקדמי,NA,NA
38,academiste,nom,NA,academician,akademiano,académico,académicien,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אקדמאי,NA,NA
39,Acadia,nom jeografial istoria,un colonia franses en la norde-este de America Norde cual ia inclui partes de Quebec este,Acadia (French colony),NA,Acadia (colonia francesa),Acadie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אקדיה (חבל ארץ בצפון אמריקה),NA,NA
39,acadian,ajetivo demonim,NA,Acadian,NA,acadiano,acadien,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: שקשור לאקדיה,NA,NA
39,acadian,nom,NA,Acadian,NA,acadiano,Acadien,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: תושב חבל אקדיה,NA,NA
