word_id,word,gramatica,defini,en,eo,es,fr,capital,nota,vide,orijina,tasonomia,pronuncia,simbol,usa,an,da,de,gl,he,mt,ru
2148,coraco-,prefisa tecnical anatomia medica,oncin,coraco-,NA,NA,coraco- (en crochet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) דמוי קרס,NA,NA
2324,cripto-,prefisa tecnical,secreta,crypto-,NA,NA,crypto-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) סודי,NA,NA
3294,eso-,prefisa tecnical,estra,eso-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3031,emato-,prefisa tecnical medica,sangue,hemato-|ae (blood),NA,NA,hémato- (sang),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) דם,NA,NA
1064,bi-,prefisa tecnical,a du veses,bi-,NA,NA,bi-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) פעמיים,NA,NA
3153,-ente,sufisa ajetivo,ajuntada a un verbo per formi la partisipio ativa,-ing,NA,NA,NA,NA,Esta varia de `-nte` es usada sola con la verbo `es`. :: This variant of `-nte` is only used with the verb `es`.,NA,NA,NA,NA,NA,esente,NA,NA,NA,NA,NA,NA,NA
400,anjio-,prefisa tecnical medica,dutos sangual,angio- (blood vessels),NA,NA,angio- (vaisseaux sanguins),NA,NA,NA,de elinica angeion (vaso,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) שקשור לכלי הדם,NA,NA
3252,-es,sufisa ajetivo,ajuntada a un nom jeografial per formi un ajetivo pertinente a la loca,-ese,NA,NA,NA,NA,NA,-an,NA,NA,NA,NA,nederlandes,NA,NA,NA,NA,NA,NA,NA
753,-ato,sufisa nom cimica,un sal de un asida de cual sua nom fini con `-ica`,-ate (chemistry),NA,NA,-ate (suffixe ; chimie),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (סיומת טכנית) מלח,NA,NA
3686,fono-,prefisa tecnical fisica arte util,sona,phono-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3255,-esa,sufisa nom,ajuntada a un nom per crea un titulo formal per un fem,-ess (formal female title),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prinsesa,NA,NA,NA,NA,NA,NA,NA
1754,cilo-,prefisa tecnical,(un mesura) multiplida par 1000,kilo-,NA,NA,kilo- (mille),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) קילו-,NA,NA
2922,ecto-,prefisa tecnical,estra,ecto- (outside),NA,NA,ecto- (dehors),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) חיצוני,NA,NA
3399,eu-,prefisa tecnical,bon,eu- (good),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
540,arceo-,prefisa tecnical,antica,archeo-|ae,NA,NA,archéo-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) עתיק,NA,NA
213,alo-,prefisa tecnical,otra,allo- (other),NA,NA,allo-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) אחר או נוסף,NA,NA
3701,-foria,sufisa nom siensa-umana medica,senti o emosia,-phoria (feeling),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3703,-forma,sufisa ajetivo biolojia medica matematica,con forma de,-form,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3251,es-,prefisa tecnical,estra,ex- (outside),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1364,but-,prefisa tecnical cimica,nominte alcanos e otra idrocarbonos con cuatro atomes de carbono,but- (chemistry),NA,NA,but- (chimie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) אלקן בעל 4 אטומי פחמן,NA,NA
209,-aljia,sufisa nom medica,dole,-algia (pain),NA,NA,-algie,NA,NA,NA,de elinica algos (dole),NA,NA,NA,NA,NA,NA,NA,NA,he: (סיומת טכנית) שקשור לכאב,NA,NA
3055,emi-,prefisa tecnical,dui,hemi-,NA,NA,semi-,NA,NA,semi-,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) חצי,NA,NA
491,apo-,prefisa tecnical,a via de,apo-,NA,NA,apo- (préfixe),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) מ-,NA,NA
3678,-fon,sufisa nom fisica arte util,sona,-phone (sound),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3685,-fonia,sufisa nom fisica arte medica,sona o vose,-phony (sound),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1570,-cardia,sufisa nom medica,cor,-cardia (heart),NA,NA,-cardie (cœur),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (סיומת טכנית) שקשור בלב,NA,NA
2402,cuasi-,prefisa tecnical,cuasi,quasi-,NA,NA,quasi-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) קרוב ל,NA,NA
2406,cuatro-,prefisa tecnical,cuatro,quadr-,NA,NA,quadr-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) ארבע,NA,NA
4680,-jen,sufisa ajetivo medica biolojia siensa-umana,produinte o produida par; pertinente a jenes,-genic (producing),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3052,-emese,sufisa nom medica,vomiti,-emesis (vomiting),NA,NA,-émèse (vomir),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (סיומת טכנית) הקאה,NA,NA
447,antropo-,prefisa tecnical,umanas,anthropo-,NA,NA,anthropo-,NA,NA,NA,de elinica anthropos (umana),NA,NA,NA,NA,NA,NA,NA,NA,he: (סיומת טכנית) שקשור בבני אדם,NA,NA
1246,braci-,prefisa tecnical,corta,brachy- (short),NA,NA,brachy- (court),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) קצר,NA,NA
3365,eta-,prefisa tecnical,sete,hepta- (seven),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2924,-ectomia,sufisa nom medica,estrae sirurjial,-ectomy (surgery),NA,NA,-ectomie (chirurgie),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (סיומת טכנית) הסרה בניתוח,NA,NA
3223,-eria,sufisa nom,ajuntada a un verbo,-ery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,refineria; paneria; monceria; beleria,NA,NA,NA,NA,NA,NA,NA
2353,cromo-,prefisa tecnical,color,chromo-,NA,NA,chromo-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) צבע,NA,NA
309,amnio-,prefisa tecnical medica,amnio,amnio-,NA,NA,amnio-,NA,NA,NA,de elinica amnos (amnio),NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) ששייך לשפיר,NA,NA
2314,-crin,sufisa ajetivo biolojia medica,secrete,-crine (secreting),NA,NA,-crine (sécrétion),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (סיומת טכנית) מפריש,NA,NA
2646,di-,prefisa tecnical,du,di- (two),NA,NA,di- (deux),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) שניים,NA,NA
266,ambi-,prefisa tecnical,ambos,ambi-,NA,NA,ambi-,NA,NA,NA,de latina ambi- (ambos),NA,NA,NA,NA,NA,NA,NA,NA,he: (סיומת טכנית) שני הצדדים,NA,NA
20,-able,sufisa ajetivo,ajuntada a un verbo transitiva per formi un ajetivo descrivente un person o cosa a cual on pote fa la ata,-able,-ebla,-able,-able,NA,NA,NA,NA,NA,NA,NA,comable; lejable; lodable; notable; vidable,NA,NA,NA,NA,he: (סיומת) ניתן ל,NA,NA
2567,demo-,prefisa tecnical,popla,demo- (people),NA,NA,démo- (peuple),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) אוכלוסייה,NA,NA
3600,filo-,prefisa tecnical,ama de,philo- (love),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
322,ana-,prefisa tecnical cimica biolojia,a supra,ana-,NA,NA,ana-,NA,NA,NA,de elinica ana- (a supra),NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) שוב,NA,NA
2921,ecto-,prefisa tecnical,(un mesura) multiplida par 100,hecto- (hundred),NA,NA,hecto- (cent),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) מאה,NA,NA
425,anti-,prefisa,ajuntada a ajetivos e nomes per formi ajetivos de oposa o ataca,anti- (opposition),NA,NA,anti-,NA,NA,NA,de elinica anti- (contra),NA,NA,NA,antisosial; antiavional; antifungal; antieroe; antiproton,NA,NA,NA,NA,he: (קידומת) נגד,NA,NA
2357,crono-,prefisa tecnical,tempo,chrono-,NA,NA,chrono-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) זמן,NA,NA
3181,epi-,prefisa tecnical,sur,epi-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2909,eco-,prefisa tecnical,pertinente a ecolojia,eco-,NA,NA,éco-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) שקשור באקולוגיה,NA,NA
3159,entre-,prefisa tecnical,entre,inter- (between),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849,co-,prefisa tecnical,con,co- (with,NA,NA,co- (avec,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) עם,NA,NA
3089,-en,sufisa nom cimica,idrocarbono nonsaturada,-ene (chemistry),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,a-,prefisa tecnical,non-,a-,NA,a-,a-,NA,NA,NA,de elenica a- (no,NA,NA,NA,NA,NA,NA,NA,NA,he: (סיומת טכנית) ללא,NA,NA
3252,-es,sufisa nom,nominte un abitor o lingua de un rejion spesifada,-ese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2929,ecui-,prefisa tecnical,egal,equi-,NA,NA,équi-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) שווה,NA,NA
641,-ase,sufisa nom medica,maladia,-asis (medical),NA,NA,-ase (médecine),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (סיומת טכנית) מחלה,NA,NA
2648,dia-,prefisa tecnical,tra,dia-,NA,NA,dia-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) דרך,NA,NA
3531,femto-,prefisa tecnical,{10^-15},femto-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3061,emo-,prefisa tecnical medica biolojia,sangue,hemo-|ae (blood),NA,NA,hémo- (sang),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) דם,NA,NA
1249,bradi-,prefisa tecnical,lenta,brady- (slow),NA,NA,brady- (lent),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) לאט,NA,NA
3367,-eta,sufisa verbo,ajuntada a un verbo per formi un otra verbo indicante la mesma ata en modo min intensa,(weaker variant) -le,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pluveta,NA,NA,NA,NA,NA,NA,NA
510,apto-,prefisa tecnical,juntante,hapto- (attachment),NA,NA,hapto- (préfixe),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) צמוד,NA,NA
395,aniso-,prefisa tecnical,diferente,aniso- (unequal),NA,NA,aniso- (inégal),NA,NA,NA,de elinica anisos (nonegal),NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) שונה,NA,NA
2488,-da,sufisa ajetivo,ajuntada a un verbo per formi la partisipio pasiva,-ed,NA,-ado,-é|-ée,NA,La partisipio pasiva es un ajetivo cual indica ce on fa (o ia fa) la ata de la verbo a la person o cosa cual la partisipio descrive (un mesaje ascondeda es un mesaje cual on ia asconde). On usa lo ance como un nom,NA,NA,NA,NA,NA,ascondeda; tu ia asconde un mesaje e me ia trova tua mesaje ascondeda; la mesaje ia es ascondeda,NA,NA,NA,NA,he: (סיומת) בינוני פעול (צורות פעול,NA,NA
4687,-jenese,sufisa nom medica biolojia siensa-umana,causa o orijina,-genesis (origin),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2818,dolico-,prefisa tecnical,longa,dolicho- (long),NA,NA,dolicho- (long),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) ארוך,NA,NA
1101,bio-,prefisa tecnical,vive e organismes,bio-,NA,NA,bio- (relatif au vivant),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) ביו-,NA,NA
320,-an,sufisa ajetivo,ajuntada a un nom jeografial per formi un ajetivo pertinente a la loca,-an,NA,NA,-ain,NA,NA,-es,NA,NA,NA,NA,italian; suburban; victorian,NA,NA,NA,NA,he: (סיומת) ששייך למקום או לעם,NA,NA
8739,taci-,prefisa tecnical,rapida,tachy- (rapid),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3623,-fise,sufisa nom medica,crese,-physis (growth),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
752,ato-,prefisa tecnical,{10^-18},atto-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1834,cloro-,prefisa tecnical,verde,chloro-,NA,NA,chloro- (chimie),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) ירוק,NA,NA
486,aplo-,prefisa tecnical,solitar,haplo- (single),NA,NA,haplo- (simple),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) יחיד,NA,NA
4213,-i,sufisa verbo nontransitiva,ajuntada a un ajetivo o nom per formi un verbo nontransitiva per la ata de deveni tal,become,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,la acua profondi; la visitores grupi,NA,NA,NA,NA,NA,NA,NA
1939,com-,prefisa tecnical,con,com- (with,NA,NA,com- (avec,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) עם,NA,NA
1067,biblio-,prefisa tecnical,libros,biblio-,NA,NA,biblio- (relatif aux livres),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) שקשור בספרים,NA,NA
2600,desi-,prefisa tecnical,un desi de,deci- (a tenth),NA,NA,déci- (un dixième d'unité),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) עשירית,NA,NA
2879,dura-,prefisa tecnical,dur,dura- (hard),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) קשה,NA,NA
421,ante-,prefisa tecnical,ante,ante-,NA,NA,anté-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) לפני,NA,NA
3435,exa-,prefisa tecnical,{10^18},exa-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,-agra,sufisa nom medica,dole subita,-agra (pain),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (סיומת טכנית) כאב פתאומי,NA,NA
3088,en-,prefisa tecnical,en,en-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3364,et-,prefisa tecnical cimica,nominte alcanos e otra idrocarbonos con du atomes de carbono,eth- (chemistry),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3253,-es,sufisa,ajuntada per plurali un nom cual fini con un consonante,-s (plural of noun that ends in a consonant),NA,NA,NA,NA,NA,-s,NA,NA,NA,NA,canes,NA,NA,NA,NA,NA,NA,NA
2096,contra-,prefisa tecnical,contra,contra-,NA,NA,contra-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) נגד,NA,NA
705,-astenia,sufisa nom medica,debilia,-asthenia,NA,NA,-asthénie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (סיומת טכנית) שקשור לחולשה,NA,NA
3056,-emia,sufisa nom medica,disturba medical de sangue,-emia|ae (blood),NA,NA,-émie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (סיומת טכנית) מחלת דם,NA,NA
2522,de-,prefisa tecnical,de,de-,NA,NA,dé-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(קידומת טכנית) מ-,NA,ru: (приставка соответствующая русским) от
3450,-faje,sufisa nom biolojia medica,comor,-phage (eater),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3116,enea-,prefisa matematica,nove,ennea-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
