words,freq,word_id,gramatica,defini,en,eo,es,fr,capital,nota,vide,orijina,tasonomia,pronuncia,simbol,usa,an,da,de,gl,he,mt,ru
no,0.014316376904915218,6023,determinante,zero,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,no person ia responde; el ia trova no problemes,NA,NA,kein,NA,NA,NA,NA
no,0.014316376904915218,6023,averbo preverbal,indicante la reversa o manca de un cualia o ata,not,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,me no ia comprende; la can no es en la jardin,NA,ikke,nicht,NA,NA,NA,NA
no,0.014316376904915218,6023,conjunta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,me vole esta,NA,NA,NA,NA,NA,NA,NA
no,0.014316376904915218,6023,esclama,donante un responde negativa a la demanda o declara presedente; ance ajuntada a la fini de un frase per cambia lo a un demanda,no; (question tag) eh?,NA,NA,NA,NA,En `tu labora en la scola,si,NA,NA,NA,NA,NA,NA,nej,nein,NA,NA,NA,NA
no,0.014316376904915218,6024,nom arte,un forma de drama tradisional de Nion con musica e dansa e atores mascida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e,0.013200257566001287,2889,simbol,la letera sinco de la alfabeta roman,e,NA,e,e (lettre de l'alphabet),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: האות החמישית באלפבית הלטיני,NA,NA
e,0.013200257566001287,2890,conjunta,ance,and,NA,y,et (ainsi que,NA,NA,NA,NA,NA,NA,NA,NA,NA,og,und,NA,he: ו-,NA,NA
el,0.011654861558274308,2972,pronom,representante un person,he,NA,él,il,NA,NA,NA,NA,NA,NA,NA,NA,NA,han,er,NA,he: הוא,NA,NA
tu,0.011182657222579953,9262,pronom,usada par un parlor per refere a la sola person a ci el dirije sua parolas,you (singular),NA,tú,tu,NA,NA,NA,NA,NA,NA,NA,NA,NA,du,du,NA,NA,NA,ru: ты
ce,0.008091865207125992,1711,sujunta,usada per introdui un proposa suordinada cual espresa un declara o ipotese,that,NA,que,que,NA,No confusa `ce` e `cual`. `Ce` no sinifia `cual cosa?`. Lo introdui sempre un suproposa cual presenta tipal la contenida de un dise o pensa o simil. E en la frase presedente,NA,NA,NA,NA,NA,me vide ce tu es triste; los insiste ce nos parti,NA,at,dass,NA,he: ש-,NA,NA
ave,0.007447950203906418,815,verbo transitiva,posese,have,NA,tener (poseer,avoir,NA,:: `Ave` does not mean _have_ as in _you have done well_ (`tu ia fa bon`) or _having eaten,NA,NA,NA,NA,NA,NA,NA,have,haben,NA,he: להיות בעל דבר או תכונה,NA,NA
esta,0.007233311869499892,3326,determinante,cual nos vide asi; cual nos veni de indica,this,NA,éste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,den,dieser,NA,NA,NA,NA
esta,0.007233311869499892,3326,pronom,NA,this,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plu,0.006804035200686843,6957,determinante,un cuantia,more,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plu tempo; plu problemes; un plu peso de torta,NA,mere,NA,NA,NA,NA,NA
plu,0.006804035200686843,6957,averbo,NA,more; any more,pli,mas,plus,NA,NA,NA,NA,NA,NA,NA,plu fria ca,NA,mere,mehr,NA,NA,NA,ru: больше
plu,0.006804035200686843,6957,conjunta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nos,0.00669671603348358,6048,pronom,usada par un parlor per refere a un grupo de cual el es un parte; me e tu/vos; me e el/los,we,NA,nosotros,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vi,wir,NA,NA,NA,NA
cual,0.00661086069972097,2386,determinante,demandante sur la identia de un cosa,(interrogative) what,NA,cuál,quel,NA,NA,NA,NA,NA,NA,NA,NA,NA,hvilken,welche,NA,he: מה,NA,NA
cual,0.00661086069972097,2386,pronom,demandante sur la identia de un cosa; (suordinante) introduinte un suproposa ajetivin cual dona plu informa sur un cosa cual on ia indica direta a ante,(interrogative) what,NA,cuál,qui,NA,NA,NA,NA,NA,NA,NA,un ata cual merita es lodada; la vino cual tu bevi es multe vea,NA,hvad,der,NA,he: ש-,NA,NA
per,0.0063318308649924875,6702,preposada,con intende de; beneficante - may be incomplete,for (an intended reason or beneficiary); in order to,por,para,pour,NA,No confusa `per` e `par`. `Per` introdui un intende; `par` introdui un causa. :: Both `per` and `par` can introduce reasons: `per` indicates an intention; `par` indicates a cause.,par,NA,NA,NA,NA,nos labora per mone; viaja per vide la mundo; vestida per un sera de dansa; el ia scrive la libro per sua madre,NA,for,für,NA,NA,NA,NA
esce,0.006160120197467268,3269,averbo,lo es vera ce ...? (usada per introdui un demanda de veria),(introducing a direct question),ĉu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
esce,0.006160120197467268,3269,sujunta,NA,whether,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lo,0.006052801030264005,5062,pronom,representante un cosa o situa; ance usada como un sujeto pupetin cuando la sujeto vera es la clima o ambiente jeneral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,den,NA,NA,NA,NA,NA
sua,0.005988409529942048,8617,determinante,parteninte a o asosiada con un person o cosa (o persones o cosas) indicada a ante (o direta persepable en un situa),his,lia,su,son,NA,La pronom `se` es sempre refletante (lo refere a la sujeto),NA,NA,NA,NA,NA,NA,NA,NA,seine,NA,NA,NA,ru: его
va,0.005644988194891607,9485,averbo preverbal,usada direta ante un verbo finita per indica ce esta refere a un aveni futur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,me va aida tu; me ia dise ce me va aida tu,NA,NA,NA,NA,NA,NA,NA
on,0.004958145524790728,6195,pronom,un person imajinal ci representa cualce person o persones jeneral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
multe,0.004786434857265508,5792,determinante,un cuantia grande de,many,NA,mucho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mange,viel,NA,NA,NA,NA
multe,0.004786434857265508,5792,averbo,a grado forte,very,NA,mucho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,meget (grad),viel,NA,NA,NA,NA
multe,0.004786434857265508,5792,pronom,NA,much,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
con,0.004700579523502898,1993,preposada,acompaniada par (un otra person o cosa) - may be incomplete,with,kun,con,avec,NA,NA,NA,NA,NA,NA,NA,me jua tenis con mea sore; el nada con la flue,NA,med,mit,NA,עם,NA,NA
alga,0.004400085855333763,192,determinante,referente a un person o cosa nonidentifiada,some,NA,algún,quelques,NA,NA,NA,NA,NA,NA,NA,NA,dalgún,nogen,einige,NA,he: כמה,NA,NA
alga,0.004400085855333763,192,averbo,a alga grado,somewhat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: במקצת,NA,NA
alga,0.004400085855333763,192,pronom,NA,some (singular or plural); several,NA,NA,un peu de,NA,La pronom `alga` pote refere a un o a plu. Per claria masima,NA,NA,NA,NA,NA,alga de la pan; alga de la botecas; alga dise,NA,NA,NA,NA,he: כמה,NA,NA
pote,0.00412105602060528,7138,verbo transitiva,ave la capasia o la acaso oportun per (fa alga cosa),can,povi,poder,pouvoir; avoir la permisssion,NA,NA,NA,NA,NA,NA,NA,NA,NA,kan,kann,NA,NA,NA,ru: мочь
par,0.0039708091865207126,6480,preposada,indicante la ajente de un ata - may be incomplete,(made,de,NA,par,NA,NA,NA,NA,NA,NA,NA,surprendeda par la responde; ensircada par otra paises; un teatral par Shakespeare; la ataca de la troianes par la elinicas,NA,NA,NA,NA,NA,NA,NA
los,0.0038849538527581024,5100,pronom,representante du o plu persones o cosas,they; them,NA,ellos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,de,sie (ihnen),NA,NA,NA,NA
cuando,0.0032839665164198324,2394,averbo,(demandante o introduinte un suproposa ajetivin) a cual tempo,(interrogative) when; (relative) at which time,NA,cuándo,quand,NA,NA,NA,NA,NA,NA,NA,cuando nos va parti?; me no sabe cuando me va reveni; febrero,NA,hvornår,als,NA,he: מתי; כש-,NA,NA
cuando,0.0032839665164198324,2394,sujunta,(introduinte un suproposa averbin) a la tempo a cual,when,NA,cuando,quand,NA,NA,NA,NA,NA,NA,NA,nos va parti cuando la sol reposa; me ia come ante cuando vos ia ariva,NA,NA,NA,NA,he: בזמן ש,NA,NA
o,0.00309079201545396,6088,simbol,la letera 15 de la alfabeta roman,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
o,0.00309079201545396,6089,conjunta,juntante du espresas o frases cual es membros alternativa de un lista o grupo,or,NA,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,eller,oder,NA,NA,NA,NA
o,0.00309079201545396,6091,esclama,espresante surprende; (en leteratur anticin) introduinte la nom de la person a cual on parla,oh; O (vocative),ho,oh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fa,0.00291908134792874,3438,verbo transitiva,reali o partisipa en (un ata),do,NA,hacer,NA,NA,No usa `fa` per dise `crea` o `fabrica`. :: `Fa` does not mean _make_ in the senses of `crea`,NA,NA,NA,NA,NA,NA,NA,gøre,machen,NA,NA,NA,NA
fa,0.00291908134792874,3438,nom,NA,doing,NA,hecho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fa,0.00291908134792874,3439,nom musica,la nota cuatro de la scala de C major,fa (musical note),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sur,0.00291908134792874,8697,preposada,suportada a la surfas de (un cosa) - may be incomplete,on (surface,sur,sobre,NA,NA,NA,NA,NA,NA,NA,NA,tre libros es sur la table; un depinta pende sur la mur; un sicatris sur tua dito; la vive sur Marte,NA,på,auf,NA,NA,NA,NA
gusta,0.0028976175144880875,4125,verbo transitiva siensa-umana,senti ce (un person o cosa) es bon,like,NA,agradar,NA,NA,NA,NA,NA,NA,NA,NA,me gusta leje; me gusta esta canta,NA,lide,gern haben,NA,NA,NA,NA
gusta,0.0028976175144880875,4125,nom,NA,enjoyment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mundo,0.0028976175144880875,5826,nom,la Tera,world,NA,mundo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,verden,Welt,NA,NA,NA,NA
bon,0.0028761536810474352,1209,ajetivo prenomal,desirada,good,NA,buen,bon,NA,NA,NA,NA,NA,NA,NA,NA,NA,god,gut,NA,he: טוב,NA,NA
bon,0.0028761536810474352,1209,averbo,NA,well,NA,bien,bien,NA,NA,NA,NA,NA,NA,NA,NA,NA,god,gut,NA,he: בצורה טובה,NA,NA
bon,0.0028761536810474352,1209,esclama,NA,well,NA,NA,bon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: טוב,NA,NA
como,0.0028761536810474352,1961,averbo,(demandante) en cual modo,(interrogative) how,NA,como,comment,NA,NA,NA,NA,NA,NA,NA,como on abri esta caxa?; como longa es la viaja?,NA,hvordan,wie,NA,איך,NA,ru: как
como,0.0028761536810474352,1961,esclama,NA,what,NA,NA,quoi? comment?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: איך? מה אמרת?,NA,NA
como,0.0028761536810474352,1961,sujunta,en la modo en cual,as,NA,como,comme,NA,NA,NA,NA,NA,NA,NA,acel es como on debe condui; salta tan alta como tu pote,NA,som,wie,NA,כמו ש,NA,ru: как
como,0.0028761536810474352,1961,preposada,simil a,like,kiel,como,comme,NA,NA,NA,NA,NA,NA,NA,el rie como un iena; tan alta como me,NA,lig med,als,NA,כ-,NA,ru: как
tota,0.002790298347284825,9098,determinante,referente a la cuantia o estende intera de un grupo o cosa,all (quantity),NA,todo,tous,NA,NA,NA,NA,NA,NA,NA,tota la libros; tota la pan; tra tota la note,NA,alle,all,todo,NA,NA,NA
tota,0.002790298347284825,9098,averbo,NA,all,tute,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ganz,NA,NA,NA,NA
tota,0.002790298347284825,9098,pronom,NA,all (singular or plural),NA,NA,NA,NA,No dise `nos tota`.,NA,NA,NA,NA,NA,tota de nos,NA,NA,NA,NA,NA,NA,NA
mea,0.0027688345138441725,5370,determinante,NA,my,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vole,0.0027688345138441725,9706,verbo transitiva filosofia,intende seria (un ata); desira posese o fa (alga cosa),want,NA,desear,vouloir,NA,NA,NA,NA,NA,NA,NA,NA,NA,ønske,werden,NA,NA,NA,ru: хотеть
vole,0.0027688345138441725,9706,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cosa,0.0027473706804035203,2211,nom,cualce ojeto o conseta cual esiste o pote es pensada,thing,NA,cosa,chose,NA,NA,NA,NA,NA,NA,NA,NA,NA,ting,Ding,NA,he: דבר,NA,NA
cosa,0.0027473706804035203,2212,ajetivo demonim,pertinente a un popla de Sudafrica o a sua lingua,Xhosa (person,NA,NA,xhosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: קוסה (עם,NA,NA
cosa,0.0027473706804035203,2212,nom,NA,Xhosa (person,NA,NA,Xhosa (personne); xhosa (langue),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: קוסה (עם,NA,NA
acel,0.00266151534664091,49,determinante,cual nos vide ala; cual nos ia indica ja,that,tiu,ese,ce,NA,`Acel` es un varia asentuada de `la`. Lo contrasta comun con `esta`,NA,NA,NA,NA,NA,NA,NA,denne,das,ese,he: ההוא,NA,NA
acel,0.00266151534664091,49,pronom,NA,that,tiu,NA,celui-là,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,das,NA,he: ההוא,NA,NA
dise,0.0026400515132002575,2744,verbo transitiva,espresa (informas,say,NA,decir,dire,NA,NA,NA,NA,NA,NA,NA,NA,NA,sige,sagen,NA,he: לומר,NA,NA
dise,0.0026400515132002575,2744,nom,NA,utterance,NA,NA,énonciation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אמירה,NA,NA
ci,0.00231809401159047,1742,pronom,(demandante) cual person; (suordinante) introduinte un suproposa ajetivin cual dona plu informa sur un person o persones (o animales personin) cual on ia indica direta a ante,who,NA,quien,qui,NA,:: `Ci` is the equivalent of `cual` for referring to people,NA,NA,NA,NA,NA,ci es tu?; el ia demanda ci me ia vide; la om ci senta en la auto es mea avo; me conose la fem con ci tu ia parla,NA,hvem,wer; der,NA,he: ש-,NA,NA
ci,0.00231809401159047,1744,nom linguistica,la letera 22 de la alfabeta elinica,chi (Greek letter),NA,NA,khi (lettre grecque),NA,NA,NA,NA,NA,NA,Χ χ,NA,NA,NA,NA,NA,he: כי (האות העשרים ושתיים באלפבית היווני),NA,NA
vos,0.0022966301781498174,9719,pronom,usada par un parlor per refere a la du o plu persones a ci el dirije sua parolas,you (plural),NA,vosotros,vous,NA,NA,NA,NA,NA,NA,NA,NA,NA,De,Sie,NA,NA,NA,ru: вы
ca,0.0022107748443872077,1375,preposada,indicante la otra person o cosa en un compara de nonegalia,than,ol,que,que,NA,NA,NA,NA,NA,NA,NA,mea can es plu intelijente ca me,NA,end,als,NA,he: מ-,NA,NA
ca,0.0022107748443872077,1375,sujunta,NA,than,NA,que,que,NA,NA,NA,NA,NA,NA,NA,la mundo conteni plu ca on imajina,NA,NA,NA,NA,he: מ-,NA,NA
come,0.0021678471775059024,1948,verbo transitiva cosini,pone (comeda) en la boca,eat,NA,comer,manger,NA,NA,NA,NA,NA,NA,NA,NA,NA,spise,essen,NA,he: לאכול,NA,NA
come,0.0021678471775059024,1948,nom,NA,meal,NA,comida (ocasión para comer),repas,NA,NA,NA,NA,NA,NA,NA,NA,NA,måltid,Mahlzeit,NA,he: ארוחה,NA,NA
grande,0.0021463833440652502,4061,ajetivo,de un altia,large,NA,gran,NA,NA,NA,NA,NA,NA,NA,NA,Alexandro la Grande,NA,stor,gross,NA,NA,NA,NA
ta,0.0021463833440652502,8732,averbo preverbal,usada direta ante un verbo finita per indica ce esta refere a un situa nonreal (imajinal,would (indicating that a finite verb refers to a hypothetical scenario,-us,NA,NA,NA,No usa `ta` per refere a la futur en un frase pasada. Usa `va`: `tu ia dise ce tu va aida`. :: Unlike _would_,ia ta,NA,NA,NA,NA,si nos ta ave un mapa,NA,NA,NA,NA,NA,NA,NA
sabe,0.002103455677183945,7758,verbo transitiva filosofia siensa-umana,es consensa de (un cosa) par oserva,know (fact,scii,saber,savoir,NA,NA,conose,NA,NA,NA,NA,me no sabe do me ia pone la clave; tu sabe elefen; el sabe jua xace,NA,vide,wissen,NA,NA,NA,NA
sabe,0.002103455677183945,7758,nom,NA,knowledge,scio,saber,savoir,NA,NA,NA,NA,NA,NA,NA,NA,NA,viden,Wissen,NA,NA,NA,NA
persones,0.0020819918437432927,6755,nom plural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ma,0.00206052801030264,5138,conjunta,introduinte alga cosa cual contrasta con lo cual es ja diseda,but,NA,pero,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,men,aber,NA,NA,NA,NA
vive,0.00197467267654003,9688,verbo nontransitiva biolojia,esiste como un individua biolojial; no es mor,live,NA,vivir,vivre,NA,NA,NA,NA,NA,NA,NA,NA,NA,leve,leben,NA,NA,NA,ru: жить
vive,0.00197467267654003,9688,verbo transitiva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vive,0.00197467267654003,9688,nom,NA,life,NA,vida,vie,NA,NA,NA,NA,NA,NA,NA,NA,NA,liv,Leben,NA,NA,NA,NA
vade,0.00188881734277742,9490,verbo nontransitiva,move de un loca a un otra; funsiona,go; (system) work,iri,ir,aller,NA,NA,NA,NA,NA,NA,NA,NA,NA,gå,gehen,NA,NA,NA,ru: идти
vade,0.00188881734277742,9490,esclama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aora,0.0017814981755741575,459,averbo,a esta ora,now,NA,ahora,maintenant,NA,NA,NA,NA,NA,NA,NA,NA,NA,nu,jetzt,NA,he: עכשיו,NA,NA
debe,0.0017814981755741575,2524,verbo transitiva,es obligada a (fa un cosa o es en un state),be obligated to,NA,deber; debería,devoir,NA,NA,NA,NA,NA,NA,NA,un bon sitadan debe vota,NA,skulle,sollen,NA,להיות חייב (גם כסף),NA,ru: быть обязанным
debe,0.0017814981755741575,2524,nom,NA,duty,NA,deber,devoir,NA,NA,NA,NA,NA,NA,NA,NA,NA,pligt,Pflicht,NA,חובה,NA,ru: обязанность
lingua,0.0017814981755741575,5013,nom anatomia linguistica,la organo musculosa en la boca de un mamal,tongue; language; speech (ability),NA,lengua; lenguaje,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tunge; sprog,Zunge; Sprache,NA,NA,NA,NA
asi,0.001760034342133505,667,averbo,en esta loca; movente a esta loca,here; to here,NA,aquí,ici,NA,NA,NA,NA,NA,NA,NA,NA,NA,her,hier,NA,he: כאן,NA,NA
otra,0.001760034342133505,6379,ajetivo prenomal,(un person o cosa) diferente o distinguida; no la mesma,other; latter (of two,NA,otro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anden,andere,NA,NA,NA,NA
do,0.0016956428418115476,2806,averbo,(demandante o introduinte un suproposa ajetivin) en cual loca o situa; a cual loca,(interrogative) where; (relative) where,NA,donde,où,NA,NA,NA,NA,NA,NA,NA,do es la porte?; do nos vade?; me no sabe do la porte es; un parte de la pais do on bisicli multe,NA,hvor,wo,NA,he: איפה,NA,NA
do,0.0016956428418115476,2806,sujunta,(introduinte un suproposa averbin) en la loca en cual,where,NA,NA,où,NA,NA,NA,NA,NA,NA,NA,me es felis do me senta; los escava su do on ia trova la osos,NA,NA,NA,NA,he: היכן ש,NA,NA
do,0.0016956428418115476,2807,nom musica,la nota prima de la scala de C major,do (musical note),NA,NA,ut,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (מוזיקה) דו,NA,NA
fia,0.0016956428418115476,3579,nom,un person fema en relata a sua jenitores; un enfante fema,daughter,NA,hija,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,datter,Tochter,NA,NA,NA,NA
mar,0.0016956428418115476,5273,nom tera,un corpo grande de acua salin cual covre la plu de la surfas de la Tera,sea,NA,mar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hav,Meer,NA,NA,NA,NA
tua,0.0016956428418115476,9262,determinante,NA,your (singular),tuyo,NA,ton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dein,NA,NA,NA,NA
se,0.001674179008370895,7967,pronom,usada como la ojeto de un verbo o preposada,himself,si,se,se,NA,NA,NA,NA,NA,NA,NA,NA,NA,selv,sich,NA,NA,NA,NA
se,0.001674179008370895,7967,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ama,0.0016527151749302425,247,verbo transitiva siensa-umana,gusta profonda e desira la felisia de (algun,love,NA,amar,aimer,NA,NA,NA,NA,NA,NA,NA,NA,amar,elske,lieben,NA,he: לאהוב,NA,NA
ama,0.0016527151749302425,247,nom,NA,love,NA,NA,amour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אהבה,NA,NA
pos,0.0016527151749302425,7124,preposada,a - may be incomplete,behind (in space or sequence),malantaŭ,detrás de,derrière,NA,Per espresa esta en modo plu clar,cuando,NA,NA,NA,NA,la gato dormi pos la sofa,NA,bagved bag,hinter,NA,NA,NA,после
parla,0.0016097875080489374,6562,verbo transitiva linguistica,dise (parolas) per espresa informa,speak,NA,hablar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tale,sprechen,NA,NA,NA,NA
parla,0.0016097875080489374,6562,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
du,0.001588323674608285,2864,determinante matematica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
du,0.001588323674608285,2864,ajetivo,NA,second (ordinal),NA,NA,deuxième,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: שני,NA,NA
du,0.001588323674608285,2864,nom,NA,two,NA,NA,deux (cartes à jouer),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קלפים) זוג,NA,NA
vide,0.00154539600772698,9631,verbo transitiva,persepi (alga cosa) par la oios; regarda (un filma,see (including discover,vidi,ver (mirar,voir,NA,NA,NA,NA,NA,NA,NA,NA,NA,se,sehen,NA,NA,NA,ru: видеть
vide,0.00154539600772698,9631,nom,NA,sight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vide,0.00154539600772698,9631,esclama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cada,0.0015239321742863275,1393,determinante,tota de un grupo,each,NA,cada,chaque,NA,NA,NA,NA,NA,NA,NA,NA,NA,enhver,jeder,cada,he: כל...,NA,NA
cada,0.0015239321742863275,1393,pronom,NA,each,NA,NA,chacun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: כל (אחד),NA,NA
