word_id,word,gramatica,capital,en,defini,nota,vide,orijina,tasonomia,pronuncia,simbol,usa,an,da,de,eo,es,fr,gl,he,mt,ru
9,abaieta,nom,NA,yap,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ladrido,jappement,NA,יללה (כמו של גור כלבים),NA,ru: тявканье
10,abalon,nom molusco,NA,abalone,un molusco comable de mares calda,NA,NA,NA,Haliotis,NA,NA,NA,NA,NA,NA,NA,abulón,ormeau,NA,he: אבלון (שבלול),NA,NA
11,abandona,verbo transitiva informatica,NA,abandon,lasa (algun) en solitaria o sin aida; sesa labora a (un taxe); (un program) sesa espeta (un responde) pos un tempo definida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,abandonar,abandonner; quitter,NA,he: לזנוח,NA,NA
11,abandona,nom,NA,abandonment; timeout (software),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,abandono,abandon,NA,he: זניחה,NA,NA
11,abandona la scola,espresa,NA,drop out of school,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dejar la escuela,quitter l'école,NA,he: לנשור מבית הספר,NA,NA
11,abandona militar,nom,NA,desertion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deserción,désertion,NA,he: עריקה,NA,NA
11,abandona sua posto,espresa,NA,abandon one's post,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,desertar,déserter,NA,he: לערוק,NA,NA
11,abandonada,ajetivo,NA,abandoned,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,abandonado,à l'abandon,NA,he: נטוש,NA,NA
11,abandonor,nom,NA,deserter; dropout,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,desertor,déserteur,NA,he: עריק,NA,NA
12,Abcazia,nom jeografial,Sukhumi,Abkhazia,un teritorio autonom de Sacartvelo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abjasia,Abkhazie,NA,he: אבחזיה,NA,NA
12,abcaz,ajetivo,NA,Abkhaz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,abjasio (persona,abkhaze,NA,he: אבחזי,NA,NA
12,abcaz,nom demonim,NA,Abkhaz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,abjasio persona,Abkhaze (habitant),NA,he: אבחזי,NA,NA
13,abea,nom artropodo,NA,bee,un inseto volante e picante cual colie netar e polen de flores e produi miel e sira,NA,NA,NA,Apis,NA,NA,NA,abeya,bi,Biene,abelo,abeja,abeille,NA,דבורה,NA,NA
13,abea laborante,nom,NA,worker bee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,abeja obrera,ouvrière,NA,he: דבורה פועלת,NA,NA
13,abea mas,nom,NA,drone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,zángano,faux-bourdon,NA,he: דבורה ממין זכר,NA,NA
13,abeon,nom artropodo,NA,bumblebee,un abea grande e pelosa cual zumbi forte,NA,NA,NA,Bombus,NA,NA,NA,NA,NA,NA,burdo,abejorro,bourdon,NA,he: בומבוס (דבורה),NA,NA
13,abeor,nom,NA,beekeeper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,abelisto,apicultor,apiculteur,NA,he: דבוראי,NA,NA
13,aberia,nom,NA,beehive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,abelujo,colmena,ruche,NA,he: כוורת,NA,NA
13,rea de abeas,nom,NA,queen bee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,abeja reina,reine des abeilles,NA,he: מלכת הדבורים,NA,NA
14,abeto,nom planta,NA,fir,un arbor perene e conifer con conos vertical e folias cual sembla agetas,NA,NA,NA,Abies,NA,NA,NA,NA,NA,NA,abio,abeto,sapin,NA,he: אשוח (עץ),NA,NA
15,Abisinia,nom jeografial istoria,NA,Abyssinia,un impero istorial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abisinia,Abyssinie,NA,he: חבש,NA,NA
15,abisinian,ajetivo,NA,Abyssinian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,abisinio,abyssinien,NA,he: חבשי,NA,NA
15,abisinian,nom demonim,NA,Abyssinian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,abisinio,Abyssinien,NA,he: חבשי,NA,NA
16,abita,verbo transitiva,NA,live in,usa (un loca) como sua casa,La ojeto de `abita` es tipal un spesie de casa. On usa `en` per presenta un loca plu jeneral,NA,NA,NA,NA,NA,el abita un aparte; el abita en Moscva; el abita en la campania; el abita un caseta en la campania,habitar,bo,wohnen,loĝi en,habitar,habiter dans/à,habitar,לגור,NA,NA
16,abita,nom,NA,habitation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,loĝado,habitación,habitation,NA,he: התגוררות,NA,NA
16,abitable,ajetivo,NA,habitable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,loĝebla,habitable,habitable,NA,he: ראוי למגורים,NA,NA
16,abitablia,nom,NA,habitability,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,loĝebleco,habitabilidad,habitabilité,NA,he: היות מבנה או סביבה ראוי למגורים,NA,NA
16,abitada,ajetivo,NA,inhabited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,loĝata,habitado,habité,NA,he: מאוכלס,NA,NA
16,abitada,nom,NA,habitat,la ambiente do un spesie de animal abita tipal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,habitato,hábitat,habitat,NA,he: בית גידול,NA,NA
16,abitada de studiantes,nom,NA,hall of residence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,residencia de estudiantes,résidence universitaire,NA,he: מעון סטודנטים,NA,NA
16,abital,ajetivo,NA,residential,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,residencial,résidentiel,NA,he: ששייך למגורים,NA,NA
16,abitante,ajetivo,NA,residential,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,loĝanta,residencial,habitant,NA,he: מתגורר,NA,NA
16,abiteria,nom,NA,residence,un sala o casa do un person abita,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,loĝejo,habitación,habitation,NA,he: מגורים,NA,NA
16,abitor,nom,NA,inhabitant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,loĝanto,habitante,habitant,NA,he: דייר,NA,NA
16,abitor de cava,nom,NA,cave dweller,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kavernulo,cavernícola,troglodyte,NA,he: איש מערות,NA,NA
16,abitor luante,nom,NA,lodger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ĉambroluanto,huésped,locataire,NA,he: דייר בשכירות,NA,NA
16,abitores,nom plural,NA,inhabitants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,loĝantoj,habitantes,habitants,NA,he: תושבים,NA,NA
16,nonabitable,ajetivo,NA,uninhabitable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,neloĝebla,inhabitable,inhabitable,NA,he: שאינו ראוי למגורים,NA,NA
16,nonabitada,ajetivo,NA,uninhabited; unmanned,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,neloĝata,deshabitado,inhabité,NA,he: לא מיושב,NA,NA
16,nonabital,ajetivo,NA,non-residential,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no residencial,non-résidentiel,NA,he: שאינו שייך למגורים,NA,NA
16,nonabitante,ajetivo,NA,non-residential,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,neloĝanta,no residencial,non résidant,NA,he: שאינו מתגורר,NA,NA
16,nonabitor,nom,NA,non-resident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,neloĝanto,no residente,non-résident,NA,he: שאינו תושב,NA,NA
17,abitua,verbo nontransitiva,NA,get used (to),comensa ave un tende forte (a un condui) pos multe repetes; deveni fisical dependente (de un droga),NA,NA,NA,NA,NA,NA,el abitua a labora en la note; el ia abitua a eroina,NA,NA,NA,kutimi (al,acostumbrase a,être habitué (à); être dépendant (à),NA,he: להתרגל,NA,NA
17,abitua,verbo transitiva,NA,accustom,fa ce (algun) deveni abituada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kutimigi,acostumbrar a,accoutumer,NA,he: להרגיל,NA,NA
17,abitua,nom,NA,habit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kutimo; manio,costumbre,habitude; addiction,NA,he: הרגל; התמכרות,NA,NA
17,abitua sosial,nom,NA,social habit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,convención social,convention sociale,NA,he: מוסכמה חברתית,NA,NA
17,abituada,ajetivo,NA,accustomed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kutimiĝinta,habituado,accoutumé,NA,he: מורגל,NA,NA
17,abitual,ajetivo,NA,habitual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kutima,habitual,coutumier,NA,he: שיגרתי,NA,NA
17,abituante,ajetivo,NA,habit-forming,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dependiga,adictivo,addictif,NA,he: יוצר הרגלים; ממכר,NA,NA
17,mal abitua,nom,NA,bad habit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,malbona kutimo,mal hábito,vice,NA,he: הרגל מגונה,NA,NA
17,nonabituada,ajetivo,NA,unaccustomed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nekutimiĝinta,desacostumbrado,inhabituel,NA,he: שאינו מורגל; זר,NA,NA
18,abjad,nom linguistica,NA,abjad (writing system),un sistem de scrive con sinias per consonantes ma no per vocales,NA,NA,de la leteras prima de la alfabeta vea arabi,NA,NA,NA,NA,NA,NA,NA,abĝado,abyad,abjad,NA,he: אבגד,NA,NA
19,ablativa,ajetivo linguistica,NA,ablative (grammar),NA,NA,NA,de latina ablativus (sutrae),NA,NA,NA,NA,NA,NA,NA,ablativa,ablativo (gramática),ablatif (grammaire),NA,he: (דקדוק) של יחסת מוצא,NA,NA
19,ablativa,nom,NA,ablative (grammar),un caso gramatical cual indica moves a via,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ablativo,ablativo (gramática),ablatif (grammaire),NA,he: (דקדוק) יחסת מוצא,NA,NA
20,-able,sufisa ajetivo,NA,-able,ajuntada a un verbo transitiva per formi un ajetivo descrivente un person o cosa a cual on pote fa la ata,NA,NA,NA,NA,NA,NA,comable; lejable; lodable; notable; vidable,NA,NA,NA,-ebla,-able,-able,NA,he: (סיומת) ניתן ל,NA,NA
21,aboli,verbo transitiva governa,NA,abolish,elimina ofisial la esiste de (un lege o costum),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,abolicii,abolir,abolir,NA,he: לבטל בצורה רשמית,NA,NA
21,aboli,esclama,NA,down with ...,NA,NA,NA,NA,NA,NA,NA,aboli la gera!,NA,NA,NA,for la ...,abajo...!,à bas... !,NA,he: ... לא עוד,NA,NA
21,aboli,nom,NA,abolition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,abolicio,abolición,abolition,NA,he: ביטול,NA,NA
21,abolisme,nom,NA,abolitionism,la crede ce on debe aboli un lege o costum spesifada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aboliciismo,abolicionismo,abolitionnisme,NA,he: האמונה בביטול חוק או מנהג ספציפי,NA,NA
21,aboliste,ajetivo,NA,abolitionist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,abolicionista,abolitionniste,NA,he: שקשור בביטול חוק או מנהג ספציפי,NA,NA
21,aboliste,nom,NA,abolitionist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aboliciisto,abolicionista,abolitionniste,NA,he: אדם המאמין בביטול חוק או מנהג ספציפי,NA,NA
22,aborta,verbo nontransitiva medica,NA,abort,sesa prematur; pari prematur un feto noncapas de vive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nuliĝi,abortar,avorter,NA,he: להפיל,NA,NA
22,aborta,verbo transitiva,NA,abort,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nuligi,abortar,faire avorter,NA,he: לבטל,NA,NA
22,aborta,nom,NA,abortion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nuliĝo,aborto,avortement,NA,he: הפסקה לפני הזמן הראוי; הפלה,NA,NA
22,aborta natural,verbo nontransitiva medica,NA,miscarry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aborti,abortar de forma natural,faire une fausse couche,NA,he: להפיל בהפלה טבעית,NA,NA
22,aborta natural,nom medica,NA,miscarriage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aborto,aborto espontáneo,fausse couche,NA,he: הפלה טבעית,NA,NA
22,abortada,ajetivo,NA,abortive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,abortita,abortivo,abortif,NA,he: בוטל,NA,NA
22,abortiste,ajetivo,NA,abortionist,credente ce on no debe proibi abortas intendeda de fetos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,abortista,NA,NA,he: תומך בהפלות,NA,NA
22,abortiste,nom,NA,abortionist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,abortista,NA,NA,he: תומך בהפלות,NA,NA
22,antiabortiste,ajetivo,NA,antiabortionist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,antiabortista,NA,NA,he: מתנגד להפלות,NA,NA
22,antiabortiste,nom,NA,antiabortionist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,antiabortista,NA,NA,he: מתנגד להפלות,NA,NA
23,abracadabra,esclama,NA,abracadabra,diseda par un majiste en fa un truco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,abracadabra,abracadabra,NA,he: אברקדברה,NA,NA
24,Abraham,nom relijio,NA,Abraham,la patriarca comun de cristiania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abraham,NA,he: אברהם,NA,NA
24,abrahamal,ajetivo,NA,Abrahamic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,abrahamique,NA,he: אברהמי,NA,NA
25,abrasa,verbo transitiva,NA,embrace,teni (algun) entre sua brasos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,brakumi,abrazar,embrasser,NA,he: לחבק,NA,NA
25,abrasa,nom,NA,embrace,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,brakumo,abrazo,embrassade,NA,he: חיבוק,NA,NA
25,abrasa ursin,nom,NA,bear hug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,abrazo de oso,calin,NA,he: חיבוק דוב,NA,NA
25,abrasable,ajetivo,NA,embraceable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,brakuminda,abrazable,embrassable,NA,he: שראוי לחיבוק,NA,NA
25,abrasador,nom util,NA,clamp,un fisador cual presa forte a la esterna de ojetos per forti o uni los,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,krampo,abrazadera,fixation,NA,he: מלחציים,NA,NA
25,abrasador de diton,nom util,NA,thumbscrew,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aplastapulgares,vis à ailettes,NA,he: בורג כנפיים,NA,NA
25,abrasador fisada,nom util,NA,vise|ce,un util con du mandibulas plana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ŝraŭbpremilo,tornillo de banco,étau,NA,he: מלחציים קבועים,NA,NA
25,abrasadorin,ajetivo,NA,viselike|ce,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: דמוי מלחציים,NA,NA
25,abrasante,ajetivo,NA,embracing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,brakumanta,ceñido,embrassant,NA,he: מחבק,NA,NA
26,abri,verbo nontransitiva,NA,open,(un porte o contenador) deveni noncluida,NA,NA,NA,NA,NA,NA,NA,NA,NA,öffnen,malfermiĝi,abrirse,s'ouvrir,NA,he: להיפתח; להידלק,NA,NA
26,abri,verbo transitiva,NA,open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Öffnung,malfermi; malligi,abrir,ouvrir,abrir,he: לפתוח; להדליק,NA,NA
26,abri,nom,NA,opening,un ata de abri; un spasio o buco do on pote entra,NA,NA,NA,NA,NA,NA,NA,apertura,åbning,NA,malfermo,abertura,ouverture,apertura,he: פתיחה; פתח,NA,NA
26,abri la via de,espresa,NA,pioneer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pioniri,liderar,ouvrir la voie à,NA,he: להיות חלוץ,NA,NA
26,abrable,ajetivo,NA,openable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,desplegable,ouvrable,NA,he: שניתן לפתיחה,NA,NA
26,abrida,ajetivo,NA,open,NA,NA,NA,NA,NA,NA,NA,NA,NA,åben,geöffnet,malfermita,abierto,ouvert,aberto,he: פתוח,NA,NA
26,abridia,nom,NA,openness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,espacio,ouverture,NA,he: פתיחות,NA,NA
26,abrinte,ajetivo,NA,opening,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,abierto,ouvert,NA,he: פתיחה,NA,NA
26,abrinte vias,ajetivo,NA,pioneering,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pionero,pionnier,NA,he: חלוצי,NA,NA
26,de fonte abrida,ajetivo informatica,NA,open-source,(un program) de cual sua codigo de fonte es libre disponable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,malfermitkoda,de código abierto,libre,NA,he: קוד פתוח,NA,NA
26,nonabrida,ajetivo,NA,unopened,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cerrado,fermé,NA,he: שלא נפתח,NA,NA
26,pico abrida,ajetivo,NA,slightly open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entreabierto,entrouvert,NA,he: פתוח באופן חלקי,NA,NA
26,reabri,verbo nontransitiva,NA,reopen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,remalfermiĝi,reabrirse,se rouvrir,NA,he: להיפתח שוב,NA,NA
26,reabri,verbo transitiva,NA,reopen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,remalfermi,reabrir,rouvrir,NA,he: לפתוח שוב,NA,NA
27,abribote,nom verbo-nom,NA,can opener,un util per abri botes de comeda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,skatolmalfermilo,abrelatas,ouvre-boîte,NA,he: פותחן קופסאות,NA,NA
28,abribotela,nom verbo-nom,NA,bottle opener,un util per abri botelas par deseli la covrente,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sacacorchos,décapsuleur,NA,he: פותחן בקבוקים,NA,NA
29,abricoco,nom planta,NA,apricot (tree),un arbor cual produi abricocas,NA,NA,NA,Prunus armeniaca,NA,NA,NA,NA,NA,NA,abrikotujo,albaricoquero,abricotier,NA,he: משמש (עץ),NA,NA
29,abricoca,nom planta cosini,NA,apricot (fruit),un fruta mol e oranin jala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,abrikoto,albaricoque,abricot,NA,he: משמש (פרי),NA,NA
30,abrioio,nom verbo-nom,NA,eye-opener,un descovre surprendente,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,revelación,révélation,NA,he: גילוי,NA,NA
31,abrisita,nom verbo-nom,NA,opening quotation mark,un sinia de puntua introduinte un parola o frase sitada,NA,NA,NA,NA,NA,“ ‘,NA,NA,NA,NA,NA,comillas de apertura,guillemet ouvrant,NA,he: מרכאות פותחות,NA,NA
32,abrivia,nom verbo-nom,NA,pioneer,la person prima ci esplora un loca o idea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pioniro,pionero,pionnier,NA,he: חלוץ,NA,NA
33,abrotano,nom planta,NA,southernwood (plant),un artemisia brosin de Europa sude,NA,NA,NA,Artemisia abrotanum,NA,NA,NA,NA,NA,NA,NA,abrótano macho (planta),aurone,NA,he: לענה דרומית (צמח),NA,NA
34,abugida,nom linguistica,NA,abugida,un sistem de scrive cual indica vocales par ajunta sinietas a la sinias per consonantes,NA,NA,de la leteras prima de la alfabeta Ge'ez,NA,NA,NA,NA,NA,NA,NA,abugido,abugida,alphasyllabaire,NA,he: אבוגידה,NA,NA
35,abunda,verbo nontransitiva,NA,abound,esiste en un cuantia grande e sufisinte,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,abundi,abundar,être abondant,NA,he: להיות שופע,NA,NA
35,abunda,nom,NA,abundance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,abundo,abundancia,abondance,NA,he: שפע,NA,NA
35,abundante,ajetivo,NA,abounding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,abunda,abundante,abondant,NA,he: שופע,NA,NA
35,suprabunda,verbo nontransitiva,NA,be overabundant,esiste en un cuantia multe plu ca sufisinte,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,superabundi,sobreabundar,être surabondant,NA,he: להיות עודף,NA,NA
35,suprabunda,nom,NA,overabundance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,superabundo,superabundancia,excès,NA,he: עודף,NA,NA
35,suprabundante,ajetivo,NA,excessive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,superabunda,excesivo,excessif,NA,he: עודף,NA,NA
36,Acaba,nom jeografial,NA,Aqaba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Áqaba,Aqaba,NA,he: עקבה,NA,NA
36,Golfo Acaba,nom jeografial,NA,Gulf of Aqaba,la estende norde-ueste de la Mar Roja,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Golfo de Áqaba,golfe d'Aqaba,NA,he: מפרץ אילת,NA,NA
37,acad,ajetivo demonim istoria,NA,Akkadian (person,pertinente a la impero de la site Acad en Mesopotamia antica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,akada,acadio (persona,akkadien,NA,he: אכדי,NA,NA
37,acad,nom demonim,NA,Akkadian (person,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,akadano,acadio (persona,Akkadien (habitant),NA,he: אכדי,NA,NA
38,academia,nom,NA,academy,un organiza distinguida de espertas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,akademio,academia,académie,NA,אקדמיה,NA,NA
38,academial,ajetivo,NA,academic,pertinente a educa e aprende,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,akademia,académico,académique,NA,he: אקדמי,NA,NA
38,academias,nom plural,NA,academia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mundo académico,NA,NA,he: אקדמיות,NA,NA
38,academin,ajetivo,NA,academic,(un demanda) mera teorial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,académico,académique,NA,he: אקדמי,NA,NA
38,academiste,nom,NA,academician,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,akademiano,académico,académicien,NA,he: אקדמאי,NA,NA
39,Acadia,nom jeografial istoria,NA,Acadia (French colony),un colonia franses en la norde-este de America Norde cual ia inclui partes de Quebec este,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acadia (colonia francesa),Acadie,NA,he: אקדיה (חבל ארץ בצפון אמריקה),NA,NA
39,acadian,ajetivo demonim,NA,Acadian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,acadiano,acadien,NA,he: שקשור לאקדיה,NA,NA
39,acadian,nom,NA,Acadian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,acadiano,Acadien,NA,he: תושב חבל אקדיה,NA,NA
