word,gramatica,defini,en,eo,es,fr,capital,nota,vide,orijina,tasonomia,pronuncia,simbol,usa,an,da,de,gl,he,mt,ru
nasal,ajetivo,NA,nasal,NA,nasal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bilingual,nom,NA,bilingual,dulingvulo,NA,bilingue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: דו-לשוני,NA,NA
video,nom,NA,video,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cranial,ajetivo,NA,cranial,NA,NA,crânien,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: גולגולתי,NA,NA
transcontinental,ajetivo,NA,transcontinental,NA,NA,transcontinental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: טרנסקונטיננטלי,NA,NA
Fiji,nom jeografial,un otra nom per Viti,Fiji,NA,NA,NA,NA,NA,Viti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sol,nom musica,la nota sinco de la scala de C major,sol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
conclave,nom relijio,(en la Eglesa Catolica Roman) un asembla de cardinales per eleje un pape,conclave,NA,NA,conclave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (נצרות) קונקלווה,NA,NA
calico,nom veste,un stofa barata de coton no blancida,calico,NA,NA,calicot (toile),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: בד כותנה זול,NA,NA
u,esclama,diseda per espresa amira,ooh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tibet,nom jeografial,un otra nom per Bod,Tibet,NA,NA,NA,NA,NA,Bod,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dominica,nom jeografial relijio,un isola e pais en la Antiles ueste,Dominica,NA,NA,Dominique,Roseau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: דומיניקה,NA,NA
cardiogram,nom medica,un rejistra de la ativia de la cor,cardiogram,NA,NA,cardiogramme,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: קרדיוגרמה,NA,NA
crater,nom tera,un caveta grande,crater,NA,NA,cratère,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מכתש,NA,NA
flamingo,nom avia,un avia vadante grande con plumas rosa o oscur roja,flamingo,NA,NA,NA,NA,NA,NA,NA,Phoenicopterus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corcovado,nom jeografial,NA,Corcovado,NA,NA,Corcovado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: קורקובדו,NA,NA
cornea,nom anatomia,la strato transparente cual formi la fronte de un oio,cornea,NA,NA,cornée,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: קרנית,NA,NA
angostura,nom planta cosini medica,un planta de America Sude,angostura,NA,NA,galipée,NA,NA,NA,NA,Angostura,NA,NA,NA,NA,NA,NA,NA,he: אנגוסטורה (צמח שמשמש להכנת משקה אלכוהולי מר),NA,NA
interfere,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a,preposada,indicante un loca o tempo como un punto simple - may be incomplete,at,ĉe,a,à,NA,Nota la difere entre `me instrui el a comprende` (cual sinifia `me instrui el afin _el_ comprende`) e `me instrui el per comprende` (cual sinifia `me instrui el afin _me_ comprende`). :: `Me instrui tu a comprende` means that I want _you_ to understand,ante,NA,NA,NA,NA,nos senta a la table; la barco es a mar; me va parti a la fini de la semana; a 26 julio 1887; a la ora des-sinco,NA,i,bei,en (no mesmo lugar que),ב-,NA,в
salami,nom cosini,un tipo de salsix multe spisosa,salami,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
monolingual,nom,NA,monolingual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
implode,nom,NA,implosion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macau,nom jeografial,un parte de Jonguo a la costa sude-ueste,Macau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nasal,nom,NA,nasal (consonant),NA,nasal (consonante),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
probable,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
compete,verbo nontransitiva,atenta vinse,compete,NA,competir,rivaliser,NA,NA,NA,NA,NA,NA,NA,NA,NA,konkurrere,konkurrieren,NA,he: להתחרות,NA,NA
radial,ajetivo,NA,radial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
coral,nom,NA,chorale,NA,NA,chorale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (נצרות) כורל,NA,NA
implode,verbo transitiva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlas,nom jeografial,NA,Atlas,NA,NA,Atlas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אטלס,NA,NA
embargo,nom governa,un proibi ofisial,embargo,NA,NA,embargo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אמברגו,NA,NA
clone,verbo transitiva medica,produi nonsesal un organisme,clone,NA,NA,cloner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לשבט; לשכפל,NA,NA
macabre,ajetivo arte,asustante e repulsante par sua descrive o presenta de mori e feri,macabre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anterior,nom,NA,forepart; forequarters (animal),NA,NA,partie antérieure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: החלק הקדמי,NA,NA
alibi,nom governa,un declara o atesta ce algun no ia es presente a un ata,alibi,NA,NA,alibi,NA,NA,NA,de latina alibi (a un otra loca),NA,NA,NA,NA,NA,NA,NA,NA,he: אליבי,NA,NA
familial,ajetivo,NA,familial,NA,familiar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dementia,nom,(en medica) un perde gradal de funsionas cognisial,dementia,NA,NA,démence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: דמנציה,NA,NA
emoji,nom,un imaje dijital e peti,emoji,NA,emoji,emoji,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,אימוג'י,NA,NA
bifocal,ajetivo,(un lente) con du partes con distantias focal diferente,bifocal,NA,NA,bifocal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: דו-מוקדי,NA,NA
Macedonia,nom jeografial istoria,un pais sin costa en la Balcanes; un pais antica en Europa sude-este,Macedonia,NA,NA,NA,Scopie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
eso-,prefisa tecnical,estra,eso-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
continental,ajetivo,NA,continental,NA,NA,continental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: יבשתי,NA,NA
tornado,nom tera,un vortis de ventas destruinte cual aspeta como un nube embutin e avansa su un tempesta grande,tornado,NA,tornado,tornade,NA,NA,NA,NA,NA,NA,NA,NA,NA,tornado,Tornado,NA,NA,NA,NA
audio,ajetivo fisica,pertinente a sona,audio,NA,NA,sonore,NA,NA,NA,de latina audire (oia),NA,NA,NA,NA,NA,NA,NA,NA,he: שקשור לאודיו,NA,NA
exa-,prefisa tecnical,{10^18},exa-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vertical,ajetivo matematica,a un angulo de 90° de un plana orizonal; (un paje o scermo) plu alta ca larga,vertical,vertikala,vertical,vertical,NA,NA,NA,NA,NA,NA,NA,NA,NA,vertikal,senkrecht,NA,NA,NA,NA
video,ajetivo informatica,pertinente a la rejistra,video,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alfalfa,nom planta,un legum con flores bluin e folias simil a trefolias,alfalfa,NA,NA,luzerne,NA,NA,NA,NA,Medicago sativa,NA,NA,NA,NA,NA,NA,NA,he: אלפלפה,NA,NA
ta-da,esclama,usada cuando on revela alga cosa nova o surprendente,ta-da,NA,tachán,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
baron,nom istoria,un membro de la ordina la plu basa de nobiles engles,baron,NA,NA,baron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: ברון,NA,NA
educable,ajetivo,NA,educable,NA,NA,éducable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: בר-חינוך,NA,NA
bar,nom cosini,un instituida do on servi bevidas alcolosa,bar,NA,cantina,bar,NA,NA,NA,NA,NA,NA,NA,NA,NA,bar,Kneipe,NA,he: בר,NA,NA
conifer,ajetivo biolojia,(un arbor) portante conos e folias agin o scamin,coniferous,NA,NA,conifère,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מחטני,NA,NA
animal,ajetivo,(un organisme) ci nuri se con materia organica,animal,NA,NA,animal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: חיה,NA,NA
vertebral,ajetivo,NA,vertebral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Namibia,nom jeografial,un pais en Africa sude-ueste,Namibia,NA,NA,NA,Windhoek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mango,nom planta cosini,un arbor de Barat; la fruta de esta,mango,NA,NA,NA,NA,NA,NA,NA,Mangifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aha,esclama,espresante ce on comprende subita o ia fa un descovre,aha,NA,NA,ah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אהא,NA,NA
tribal,ajetivo,NA,tribal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scotland,nom jeografial,un pais en la Rena Unida norde,Scotland,NA,NA,NA,Edinburgh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abraham,nom relijio,la patriarca comun de cristiania,Abraham,NA,NA,Abraham,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אברהם,NA,NA
a-,prefisa tecnical,non-,a-,NA,a-,a-,NA,NA,NA,de elenica a- (no,NA,NA,NA,NA,NA,NA,NA,NA,he: (סיומת טכנית) ללא,NA,NA
alto,nom musica,NA,alto,NA,NA,alto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (מוזיקה) אלט,NA,NA
divide,verbo nontransitiva matematica,deveni separada a partes,divide,NA,dividirse,se diviser,NA,NA,NA,NA,NA,NA,NA,NA,NA,dele,teilen,NA,he: להתחלק,NA,NA
basilica,nom arciteta,un construida retangulo con du series de colonas e un apside semisirculo,basilica,NA,NA,basilique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: בזיליקה,NA,NA
vertebra,nom anatomia,cada de la osos serial cual forma la spina dorsal e tra cual la medula spinal pasa,vertebra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
belvedere,nom arciteta,un strutur con teto,belvedere,NA,NA,belvédère,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (אדריכלות) בלוודרה,NA,NA
confusable,ajetivo,NA,confusable,NA,NA,déroutant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: שעשוי לבלבל,NA,NA
algal,ajetivo,NA,algal,NA,NA,algueux,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: שקשור באצה,NA,NA
caramel,nom cosini,zucar o xirope caldida asta deveni brun,caramel,NA,NA,caramel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: קרמל,NA,NA
tonal,ajetivo,NA,tonal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blog,nom informatica,un loca ueb do un person o grupo peti ofre periodal sua opinas,blog,NA,NA,blog,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: בלוג,NA,NA
florin,ajetivo,NA,flowerlike,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
caiman,nom retil,un retil semiacual,caiman,NA,NA,caïman,NA,NA,NA,NA,Caiman,NA,NA,NA,NA,NA,NA,NA,he: קיימן (זוחל),NA,NA
basin,nom tera,un depresa natural en la surfas de la tera,basin,NA,NA,bassin (géographie),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (גיאוגרפיה) אגן,NA,NA
secrete,nom,NA,secretion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
diploma,nom,un documento donada par un scola o universia,diploma,NA,NA,diplôme,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: דיפלומה,NA,NA
emulsion,nom cimica,un sperde de gotas pico de un licuida en un otra en cual lo no es disolvable o miscable,emulsion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adorable,ajetivo,NA,adorable,adorebla,NA,adorable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: שובה לב,NA,NA
cata-,prefisa tecnical,a su,cata-,NA,NA,cata- (vers le bas),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) כלפי מטה,NA,NA
velcro,nom veste,un fisador per vestes o otra cosas,velcro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
interfere,verbo nontransitiva siensa-umana,partisipa o interveni (en un ata) sin invita o nesesa; preveni la continua o susede (de un prosede o ata),interfere,NA,interferir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,indgribe,hindern,NA,NA,NA,NA
serif,nom linguistica,un estende peti cual completi un linia de un letera en alga tipos de leteras,serif,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bi-,prefisa tecnical,a du veses,bi-,NA,NA,bi-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) פעמיים,NA,NA
astral,ajetivo mitolojia,(en alga credes paranormal) pertinente a un loca de esiste nonfisical,astral,NA,NA,astral,NA,NA,NA,de elinica aster (stela),NA,NA,NA,NA,NA,NA,NA,NA,he: אסטראלי,NA,NA
metal,nom,NA,metal,NA,metal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,metal,Metall,NA,NA,NA,NA
Colombia,nom jeografial,un pais en la norde-ueste de America Sude,Colombia,NA,NA,Colombie,Bogota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: קולומביה,NA,NA
real,ajetivo,NA,royal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
epidermal,ajetivo,NA,epidermal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecuador,nom jeografial,un pais en America Sude norde-ueste,Ecuador,NA,NA,Équateur (pays),Quito,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אקוודור,NA,NA
Borneo,nom jeografial,un isola grande a norde de Djava,Borneo,NA,NA,Bornéo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: בורנאו,NA,NA
erode,nom,NA,erosion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
denim,nom veste,un stofa durante de sarja de coton,denim,NA,NA,denim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: דנים (בד),NA,NA
consul,nom governa,un ofisior asiniada par un governa a abita en un site stranjer per proteje e promove ala la sitadanes e interesas de sua governa propre,consul,NA,NA,consul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: קונסול,NA,NA
Benin,nom jeografial,un pais en Africa ueste,Benin,NA,NA,Bénin,Porto-Novo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: בנין,NA,NA
soda,nom cosini,acua gasosa,soda,sodakvo,agua de Seltz,eau de Seltz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mineralwasser,NA,NA,NA,ru: содовая (вода)
si,sujunta,con la constrinje ce; con la suposa ce; en la situa ipotesal ce; sempre cuando,if,se,si,si,NA,:: When _if_ means _whether_,NA,NA,NA,NA,NA,NA,NA,hvis,wenn,NA,NA,NA,ru: если
clinical,ajetivo,NA,clinical,NA,NA,clinique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: קליני,NA,NA
oasis,nom tera,un loca en un deserto do on pote trova acua,oasis,NA,oasis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dr,corti,dotor,Dr,NA,NA,Dr (docteur),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"he: ד""ר",NA,NA
demon,nom relijio mitolojia,(en alga relijios) un mal spirito,demon,NA,NA,démon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: שד,NA,NA
en-,prefisa tecnical,en,en-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
