word,gramatica,defini,en,eo,es,fr,capital,nota,vide,orijina,tasonomia,pronuncia,simbol,usa,an,da,de,gl,he,mt,ru,word_id,sim
internasional,ajetivo,NA,international,NA,internacional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,international,international,NA,NA,NA,NA,5894,1
motor,nom util,un macina cual furni la potia per move un veculo o per opera un otra macina con partes movente,motor,NA,motor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,motor,Motor,NA,NA,NA,NA,5767,1
paralel,ajetivo matematica,(linias,parallel,NA,paralelo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,parallel,parallel,NA,NA,NA,NA,6515,1
clar,averbo,NA,clearly,NA,NA,clairement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: בברור,NA,NA,1798,1
mineral,ajetivo cimica,(un materia) solida,mineral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5578,1
oval,ajetivo matematica,con forma ronda e cuasi longida,oval,NA,óvalo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oval,Oval,NA,NA,NA,NA,6380,1
vagon,nom veculo,un veculo pesosa con rotas ma sin motor,wagon,vagono,carreta,wagon,NA,NA,NA,NA,NA,NA,NA,NA,NA,køretøj vogn,Wagon,NA,NA,NA,ru: вагон,9495,1
atom,nom fisica,la unia fundal de un elemento cimical,atom,NA,átomo,atome,NA,NA,NA,de elinica atomos (nondividable),NA,NA,NA,NA,NA,atom,Atom,NA,he: אטום,NA,NA,755,1
blu,ajetivo color,con color de la mar,dark blue,NA,azul oscuro,bleu sombre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blau,NA,he: כחול,NA,NA,1168,1
oval,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6380,1
negativa,nom,NA,negative (photography),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5929,1
en,nom mone,la unia de mone en Nion,yen (currency),eno,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3087,1
gas,nom fisica,un materia fluente como aira,gas,NA,gas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gas,Gas,NA,NA,NA,NA,3914,1
sofa,nom arciteta,un seja longa e tapetida con un dorso,sofa,sofo,sofá,sofa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sofa,NA,NA,NA,ru: софа,8378,1
mais,nom planta cosini,un planta sereal con granes grande; esta granes,corn,NA,maíz,NA,NA,NA,NA,NA,Zea mays,NA,NA,NA,NA,majs,Mais,NA,NA,NA,NA,5190,1
otel,nom arciteta,un instituida cual furni un abiteria tempora,hotel,NA,hotel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hotel,Hotel,NA,NA,NA,NA,6364,1
virus,nom biolojia medica informatica,un organisme infetante,virus,NA,virus,virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,virus,Virus,NA,NA,NA,NA,9665,1
blu,nom,NA,dark blue,NA,NA,bleu marine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: כחול,NA,NA,1168,1
privata,ajetivo governa siensa-umana,per la usa de sola un individua o grupo spesifada; (un pensa o senti) no per comparti o revela a otras; (un loca) sin persones escluida; no publica; secreta,private,privata,privado,privé,NA,NA,NA,NA,NA,NA,NA,NA,NA,privat,privat,NA,NA,NA,NA,7210,1
club,nom,un asosia dedicada a un interesa o ativia spesifada,club,NA,NA,club,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Klub,NA,he: מועדון,NA,NA,1843,1
do,averbo,(demandante o introduinte un suproposa ajetivin) en cual loca o situa; a cual loca,(interrogative) where; (relative) where,NA,donde,où,NA,NA,NA,NA,NA,NA,NA,do es la porte?; do nos vade?; me no sabe do la porte es; un parte de la pais do on bisicli multe,NA,hvor,wo,NA,he: איפה,NA,NA,2806,1
en,preposada,a interna de; esente (o parente es) encluida o ensircada par - may be incomplete,in (a place or condition),en,en,dans,NA,NA,cuando,NA,NA,NA,NA,mea cor es en mea peto; ideas en la mente; nos es en peril; nos es en acorda; vive en felisia; los senta en un sirculo,NA,ind,in,NA,NA,NA,NA,3086,1
clar,ajetivo,fasil per persepi,clear,NA,claro,clair,NA,NA,NA,NA,NA,NA,NA,NA,NA,klar,klar,NA,he: בהיר,NA,NA,1798,1
Afganistan,nom jeografial,un pais en Asia sude e Asia sentral,Afghanistan,Afganio,Afganistán,Afghanistan,Kabul,NA,NA,NA,NA,NA,NA,NA,NA,Afghanistan,Afghanistan,NA,אפגניסטן,NA,ru: Афганистан,116,1
veranda,nom arciteta,un plataforma con teto a la lado de un casa,veranda,NA,porche,véranda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Veranda,NA,NA,NA,ru: веранда,9581,1
privata,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7210,1
cultur,nom siensa-umana,la abituas,culture,NA,cultura,culture,NA,NA,NA,NA,NA,NA,NA,NA,NA,kultur,Kultur,NA,he: תרבות,NA,NA,2438,1
brun,nom,NA,brown; brunette,NA,NA,brun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: חום (צבע),NA,NA,1305,1
el,pronom,representante un person,he,NA,él,il,NA,NA,NA,NA,NA,NA,NA,NA,NA,han,er,NA,he: הוא,NA,NA,2972,1
person,nom filosofia siensa-umana,un umana videda como un individua; un organisme con consensia simil a un umana,person,NA,persona,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,person,Person,NA,NA,NA,NA,6755,1
jen,nom biolojia,un unia de erita,gene,NA,gen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gen,Gen,NA,NA,NA,NA,4679,1
tornado,nom tera,un vortis de ventas destruinte cual aspeta como un nube embutin e avansa su un tempesta grande,tornado,NA,tornado,tornade,NA,NA,NA,NA,NA,NA,NA,NA,NA,tornado,Tornado,NA,NA,NA,NA,9081,1
natur,nom biolojia,la fenomenos de la mundo fisical,nature,NA,naturaleza,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natur,Natur,NA,NA,NA,NA,5899,1
pedal,nom util,un lever operada par un pede,pedal,NA,pedal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pedal,Pedal,NA,NA,NA,NA,6649,1
negativa,ajetivo filosofia fisica arte,(un espresa) desacordante o negante; depresante o pesimiste; (un resulta de proba) indicante la manca de un sustantia o cualia; (un numero) min ca zero; con la carga eletrical de eletrones; (en fotografia) mostrante colores reversada de la orijinal,negative,NA,negativo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negativ,negativ,NA,NA,NA,NA,5929,1
tomate,nom planta cosini,un planta de America Sude en familia de solano; la fruta pulposa e roja o jala de esta,tomato,NA,tomate,tomate,NA,NA,NA,NA,Solanum lycopersicum,NA,NA,NA,NA,tomat,Tomate,NA,NA,NA,NA,9048,1
problem,nom,un situa,problem; difficulty,problemo,problema,problème,NA,NA,NA,NA,NA,NA,NA,NA,NA,problem,Problem,NA,NA,NA,NA,7218,1
iris,nom anatomia planta,un membrana plata e colorida ante la cornea de la oio; un planta con folias spadin e flores estravagante,iris (eye,NA,iris (ojo,NA,NA,NA,NA,NA,Iris,NA,NA,NA,NA,iris,Iris,NA,NA,NA,NA,4588,1
mineral,nom,NA,mineral,NA,mineral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mineral,Mineral,NA,NA,NA,NA,5578,1
do,nom musica,la nota prima de la scala de C major,do (musical note),NA,NA,ut,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (מוזיקה) דו,NA,NA,2807,1
bus,nom veculo,un veculo grande per transporta pasajores par stradas e vias,bus,NA,autobús,bus,NA,NA,NA,NA,NA,NA,NA,NA,NA,bus,Bus,autobús,he: אוטובוס,NA,NA,1357,1
neon,nom cimica,la elemento cimical con numero atomal 10,neon,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ne,NA,NA,neon,Neon,NA,NA,NA,NA,5943,1
temperatur,nom,la grado de caldia presente en un materia o ojeto,temperature,NA,temperatura,température,NA,NA,NA,NA,NA,NA,NA,NA,NA,temperatur,Temperatur,NA,NA,NA,NA,8890,1
tu,pronom,usada par un parlor per refere a la sola person a ci el dirije sua parolas,you (singular),NA,tú,tu,NA,NA,NA,NA,NA,NA,NA,NA,NA,du,du,NA,NA,NA,ru: ты,9262,1
telefon,nom util,un aparato cual cambia vibras de sona a siniales eletrical e la reversa,telephone,NA,teléfono,téléphone,NA,NA,NA,NA,NA,NA,NA,NA,NA,telefon,Telefon,NA,NA,NA,ru: телефон,8864,1
brun,ajetivo color,con color produida par misca roja,brown; brunette; swarthy,NA,café,brun,NA,NA,NA,NA,NA,NA,NA,NA,NA,brun,braun,NA,he: חום (צבע),NA,NA,1305,1
ata,verbo nontransitiva,es ativa; fa alga cosa; presenta un rol en un teatro o filma,act,NA,NA,agir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לפעול; לשחק (סרט,NA,NA,731,2
program,nom informatica,un desinia o projeta per un prosede,program|programme,programo,programa,programme,NA,NA,NA,NA,NA,NA,NA,NA,NA,program,Programm,NA,NA,NA,NA,7236,2
sur,preposada,suportada a la surfas de (un cosa) - may be incomplete,on (surface,sur,sobre,NA,NA,NA,NA,NA,NA,NA,NA,tre libros es sur la table; un depinta pende sur la mur; un sicatris sur tua dito; la vive sur Marte,NA,på,auf,NA,NA,NA,NA,8697,2
xef,averbo,plu ca tota otra posibles; como sua parte o cualia la plu grande o importante,chiefly,ĉefe,sin falta,principalement,NA,NA,NA,NA,NA,NA,NA,el bevi xef cafe; aira es xef composada de nitrojen,NA,NA,hauptsächlich,NA,NA,NA,ru: в принципе; в основном,9775,2
parlamento,nom governa,la institui la plu alta per crea leges en un nasion o stato,parliament,NA,parlamento,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,parlament,Parlament,NA,NA,NA,NA,6564,2
ronda,ajetivo matematica,con forma simil a un sirculo o sfera; alga obesa,round; pudgy,ronda,redonda,rond,NA,NA,NA,NA,NA,NA,NA,NA,NA,rund,rund,NA,NA,NA,ru: круглый,7701,2
tun,nom pex cosini,un pex grande e xasante en familia de macero,tuna,NA,atún,thon,NA,NA,NA,NA,Thunnus,NA,NA,NA,NA,NA,Thun,NA,NA,NA,ru: тунец,9284,2
metal,nom,NA,metal,NA,metal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,metal,Metall,NA,NA,NA,NA,5495,2
banana,nom planta cosini,un arbor tropical con folias multe grande e frutas cual crese en grupos; la fruta comable de esta,banana (plant,NA,plátano,banane; bananier,NA,NA,NA,NA,Musa,NA,NA,NA,NA,banan,Banane,NA,he: בננה,NA,NA,911,2
tenis,nom sporte,un sporte en cual du o cuatro juores usa racetas per colpa un bal supra un rede cual traversa un campo contornida,tennis,NA,tenis,tennis,NA,NA,NA,NA,NA,NA,NA,NA,NA,tennis,Tennis,NA,NA,NA,NA,8907,2
roja,ajetivo color,con color a la fini de la spetro a lado de orania,red; red-haired,ruĝa,rojo,rouge,NA,NA,NA,NA,NA,NA,NA,NA,NA,rød,rot,NA,NA,NA,NA,7678,2
ronda,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7701,2
credito,nom mone,la capasia de un person per oteni benes o servis ante paia,credit (money),NA,crédito,crédit,NA,NA,NA,NA,NA,NA,NA,NA,NA,kredit,Kredit,NA,he: אשראי,NA,NA,2288,2
familia,nom siensa-umana,un grupo de persones composada de persones relatada par sangue o sposi,family,NA,familia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,familie,Familie,NA,NA,NA,NA,3468,2
balon,nom,NA,balloon; (speech) bubble,NA,globo (aerostático),ballon,NA,NA,NA,NA,NA,NA,NA,NA,NA,ballon,Ballon,NA,he: בלון,NA,NA,879,2
tema,nom,la idea xef de un parla,theme,NA,sujeto,sujet,NA,NA,NA,NA,NA,NA,NA,NA,NA,emne,Thema,NA,NA,NA,NA,8885,2
rosa,nom planta,un arboreta cual produi tipal flores bonodorosa roja,rose,rozo,rosal,rose,NA,NA,NA,NA,Rosa,NA,NA,NA,NA,rose,Rose,NA,NA,NA,NA,7708,2
axa,nom util,un util tipal usada per talia lenio,axe|ax,NA,hacha,hache,NA,NA,NA,NA,NA,NA,NA,NA,NA,økse,Axt,NA,he: גרזן,NA,NA,832,2
lampa,nom util,un aparato per lumina,lamp,NA,lámpara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lampe,Lampe,NA,NA,NA,NA,4836,2
elastica,nom,NA,elastic,NA,NA,élastique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (חומר) אלסטי,NA,NA,2977,2
col,nom planta cosini,un planta cultivada,cabbage (plant,NA,col,chou,NA,NA,NA,NA,Brassica oleracea,NA,NA,NA,NA,kål,Kohl,NA,he: כרוב,NA,NA,1887,2
leje,verbo transitiva,regarda,read,NA,leer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,læse,lesen,NA,NA,NA,NA,4909,2
uniforma,nom,un colie de vestes identica portada par membros de la mesma profesa,uniform (dress),NA,uniforme,uniforme,NA,NA,NA,NA,NA,NA,NA,NA,NA,uniform,Uniform,NA,NA,NA,NA,9418,2
te,nom planta cosini,un arboreta trovada en Asia sude e este; un bevida calda preparada par infusa la folias secida e craseda de esta en acua bolinte; esta folias; un bevida fria preparada par ajunta jelo a te calda,tea (plant,NA,té,thé,NA,NA,NA,NA,Camellia sinensis,NA,NA,NA,NA,te,Tee,NA,NA,NA,ru: чай,8838,2
idea,nom filosofia siensa-umana,un pensa,idea,ideo,idea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ide,Idee,NA,NA,NA,NA,4250,2
ris,nom planta cosini,un erba de pantanes cual es comun cultivada,rice,rizo,arroz,riz,NA,NA,NA,NA,Oryza sativa,NA,NA,NA,NA,ris,Reis,NA,NA,NA,NA,7644,2
jada,ajetivo color,con color bluin verde,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,jade,Jade,NA,NA,NA,NA,4649,2
spiral,nom,NA,spiral,spiralo,espiral,spirale,NA,NA,NA,NA,NA,NA,NA,NA,NA,spiral,Spirale,NA,NA,NA,NA,8480,2
anjel,nom relijio mitolojia,(en alga credes) un spirito cual es un aidor o mesajor de Dio,angel,NA,ángel,ange,NA,NA,NA,NA,NA,NA,NA,NA,ánxel,engel,Engel,NA,he: מלאך,NA,NA,397,2
sci,nom sporte,cada de du pesos longa e magra de un materia flexable,ski; skiing,skio,esquí,(un) ski; (le) ski,NA,NA,NA,NA,NA,NA,NA,NA,NA,ski,Schi,NA,NA,NA,NA,7927,2
medisin,nom medica,un droga usada per trata o preveni maladia,medicine (drugs),NA,medicina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,medicin,Medizin,NA,NA,NA,NA,5381,2
carta,nom,un paper rijida e retangulo,card,NA,tarjeta,carte,NA,NA,NA,NA,NA,NA,NA,NA,NA,kort,Karte,NA,he: כרטיס; קלף,NA,NA,1620,2
ance,averbo,en ajunta,also,NA,también,aussi,NA,NA,NA,NA,NA,NA,NA,NA,tamién,også,auch,NA,he: גם,NA,NA,345,2
ru,ajetivo,con un surfas cual no es lisa o plana; con multe bultos o indentes; no completa o final,rough (not smooth),malglata,áspero,rugueux,NA,NA,NA,NA,NA,NA,NA,NA,NA,ru,rauh,NA,NA,NA,NA,7724,2
gris,ajetivo color,con color entre negra e blanca,gray|grey,NA,gris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,grå,grau,NA,NA,NA,NA,4087,2
longa,ajetivo,con estende grande en spasio o tempo,long,NA,largo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lang,lang,NA,NA,NA,NA,5093,2
elastica,ajetivo,(un ojeto o materia) capas de reveni spontan a sua forma normal pos contrae,elastic,NA,elástico,élastique,NA,NA,NA,NA,NA,NA,NA,NA,NA,elastisk,elastisch,NA,he: אלסטי,NA,NA,2977,2
leto,nom arciteta,un mobila o otra surfas usada per dormi o reposa,bed,NA,cama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bed,Bett,NA,NA,NA,NA,4943,2
planeta,nom astronomia,un masa grande en spasio cual move en un orbita elise sirca un stela,planet,planedo,planeta,planète,NA,NA,NA,NA,NA,NA,NA,NA,NA,planet,Planet,NA,NA,NA,NA,6900,2
conta,nom,un ata de conta; un cuantia contada; un arcivo o rejistra de resetas o spendes per un periodo spesifada; un acorda par cual un instituida teni mone per un cliente,count (action,NA,cuenta,compte,NA,NA,NA,NA,NA,NA,NA,NA,NA,konto,Konto,NA,he: ספירה,NA,NA,2081,2
paper,nom util,la materia fabricada en folias magra de la pulpa de lenio o otra materias fibrosa,paper,NA,papel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,papir,Papier,NA,NA,NA,NA,6471,2
sci,verbo transitiva,NA,ski,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7927,2
canon,nom,NA,cannon (gun),NA,NA,canon (arme),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,canón (arma),he: תותח,NA,NA,1505,2
este,nom,NA,east,NA,este,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,øst,Ost,NA,NA,NA,NA,3329,2
spiral,ajetivo matematica,enrolante en un curva continuante e gradal estendente (o stretinte),spiral,spirala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8480,2
este,ajetivo tera,(un loca o parte de loca) situada en dirije a la punto do la Sol leva a la ecuinotes; (un person o venta) veninte de esta dirije,east,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3329,2
ru,nom cosini,un misca de gras (tipal bur) e farina usada per fa salsas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7725,2
norde,nom,NA,north,NA,norte,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nord,Nord,NA,NA,NA,NA,6040,2
hazar,nom demonim istoria,pertinente a un tribu turcica de relijio iudi cual ia ocupa Hazaria,Khazar,NA,jázaro,Khazar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chasar,NA,NA,NA,ru: хазар,4160,2
sistem,nom filosofia,un colie de partes cual formi un intera complicada como un rede o macina; (en biolojia) un colie de organos en la corpo con strutur o funsiona comun; (en informatica) un grupo relatada de aparatos o programes o ambos,system,sistemo,sistema,système,NA,NA,NA,NA,NA,NA,NA,NA,NA,system,System,NA,NA,NA,NA,8330,2
sal,nom cimica cosini,clorido de sodio,salt,salo,sal,sel,NA,NA,NA,NA,NA,NA,NA,NA,NA,salt,Salz,NA,NA,NA,ru: соль,7788,2
col,nom,un polvo negra,kohl (cosmetic),NA,NA,kohl (cosmétique),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: כחל (איפור),NA,NA,1888,2
roja,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7678,2
corno,nom biolojia,un crese dur trovada en duples,horn (animal,NA,cuerno,corne; klaxon; cor,NA,NA,NA,NA,NA,NA,NA,NA,NA,horn,Horn,NA,he: קרן (של בעל-חיים); שופר,NA,NA,2183,2
ueste,ajetivo tera,(un loca o parte de loca) situada en dirije a la punto do la Sol reposa a la ecuinotes; (un person,west,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9368,2
bambu,nom planta,un erba leniosa e jigante cual abita xef la tropicos; la talo de esta,bamboo (plant,NA,bambú (planta,bambou,NA,NA,NA,NA,Bambusa,NA,NA,NA,NA,bambus,Bambus,NA,he: במבוק,NA,NA,910,2
rica,ajetivo mone,posesente un cuantia grande de mone,rich,riĉa,rico,riche,NA,NA,NA,NA,NA,NA,NA,NA,NA,rig,reich,NA,NA,NA,NA,7623,2
oliva,ajetivo color,con color grisin verde,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6155,2
per,preposada,con intende de; beneficante - may be incomplete,for (an intended reason or beneficiary); in order to,por,para,pour,NA,No confusa `per` e `par`. `Per` introdui un intende; `par` introdui un causa. :: Both `per` and `par` can introduce reasons: `per` indicates an intention; `par` indicates a cause.,par,NA,NA,NA,NA,nos labora per mone; viaja per vide la mundo; vestida per un sera de dansa; el ia scrive la libro per sua madre,NA,for,für,NA,NA,NA,NA,6702,2
nas,nom anatomia,la parte supra la boca de un person o animal,nose,NA,nariz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,næse,Nase,NA,NA,NA,NA,5891,2
nasion,nom governa,un colie grande de persones,nation,NA,nación,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nation,Nation,NA,NA,NA,NA,5894,2
longa,averbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5093,2
orizonal,ajetivo,paralel a,horizontal; landscape (orientation),NA,horizontal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,horisontal,horizontal,NA,NA,NA,NA,6275,2
mano,nom anatomia,la parte final de un braso,hand; handful,NA,mano,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hånd,Hand,NA,NA,NA,NA,5259,2
ata,nom,un cosa fada; un documento legal; un divide de un teatral o simil,action,NA,acto,acte,NA,NA,NA,NA,NA,NA,NA,NA,NA,handling,Tat,NA,he: פעולה,NA,NA,731,2
armonia,nom musica,la efeto plasente produida par un combina simultan de notas musical,harmony,NA,armonía,harmonie,NA,NA,NA,NA,NA,NA,NA,NA,NA,harmoni,Harmonie,harmonía,he: הרמוניה,NA,NA,597,2
curva,ajetivo matematica,con forma cual devia gradal de retia,curved,NA,doblado,courbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,bøjet,gebeugt,NA,he: מעוקם,NA,NA,2478,2
rituo,nom siensa-umana relijio,un serie de atas tradisional per selebra un aveni publica o relijiosa,ritual,rito,ritual,rituel,NA,NA,NA,NA,NA,NA,NA,NA,NA,ritual,Ritus,NA,NA,NA,NA,7650,2
conta,verbo transitiva,determina la cuantia de (un colie de cosas) par dise numeros en serie,count,NA,contar,compter,NA,NA,NA,NA,NA,NA,NA,NA,NA,tælle,zählen,NA,he: לספור,NA,NA,2081,2
foto,nom arte,un imaje creada par usa un camera,photo,NA,fotografía,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fotografi,Photo,NA,NA,NA,NA,3732,2
nervo,nom anatomia,un fibre blancin,nerve,NA,nervio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nerve,Nerv,NA,NA,NA,NA,5951,2
linia,nom,un marca o banda longa e streta; (en matematica) un estende continuante de longia sin largia; un cuantia de persones o cosas en un tal forma,line,NA,línea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,linie,Linie,NA,NA,NA,NA,5017,2
metal,ajetivo fisica,(un materia) solida,metal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5495,2
vena,nom anatomia,cada de la dutos de sangue cual transporta xef la sangue sin multe osijen a la cor; un strato magra de roca cual difere de sua ambiente,vein (anatomy); lode (geology),vejno,vena,veine,NA,NA,NA,NA,NA,NA,NA,NA,NA,vene,Vene,NA,NA,NA,NA,9561,2
gris,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087,2
minuto,nom,un periodo de tempo egal a 60 secondos o un sesdesi de un ora; un sesdesi de un grado angulo,minute,NA,minuto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,minut,Minute,NA,NA,NA,NA,5597,2
mus,nom mamal informatica,un rodente peti con beco puntida,mouse,NA,ratón,NA,NA,NA,NA,NA,Mus,NA,NA,NA,NA,mus,Maus,NA,NA,NA,NA,5834,2
falsa,nom,NA,fake (thing),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3463,2
ueste,nom,NA,west,okcidento,oeste,ouest,NA,NA,NA,NA,NA,NA,NA,NA,NA,vest,West,NA,NA,NA,NA,9368,2
fe,nom mitolojia,un organisme mital,fairy,NA,hada,NA,NA,NA,NA,NA,NA,NA,NA,NA,fada,fe,Fee,NA,NA,NA,NA,3516,2
canon,nom relijio musica,un colie de libros santa; un colie de testos asetada como autentica; un musica con un melodia xef cual otra strumentos imita a intervales,canon (literature,NA,cañón,canon (littérature,NA,NA,NA,NA,NA,NA,NA,NA,NA,kanon,Kanone,NA,he: (ספרות,NA,NA,1508,2
mor,ajetivo biolojia,no vivente,dead,NA,muerto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,død,tot,NA,NA,NA,NA,5728,2
mor,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5728,2
bir,nom cosini,un bevida alcolosa fermentada de malta e saborida con lupulos,beer,NA,cerveza,bière,NA,NA,NA,NA,NA,NA,NA,NA,NA,øl,Bier,NA,he: בירה,NA,NA,1130,2
xef,nom,NA,chief,ĉefo,jefe,chef,NA,NA,NA,NA,NA,NA,NA,NA,NA,chef,Chef,NA,NA,NA,ru: шеф-повар,9775,2
